,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,low,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt
2379,,,,,放送,8,,,,,2379,,,,,韓国政府,5,,
2380,,,,,個人的,8,,,,,2380,,,,,近隣,5,,
2381,,,,,土台,8,,,,,2381,,,,,防護,5,,
2382,,,,,調査結果,8,,,,,2382,,,,,復興庁,5,,
2383,,,,,作戦,8,,,,,2383,,,,,復活,5,,
2384,,,,,意思決定,8,,,,,2384,,,,,公海,5,,
2385,,,,,産業構造,8,,,,,2385,,,,,誠意,5,,
2386,,,,,グローバル,8,,,,,2386,,,,,衆参,5,,
2387,,,,,主権,8,,,,,2387,,,,,簡素,5,,
2388,,,,,利点,8,,,,,2388,,,,,使い勝手,5,,
2389,,,,,集まり,8,,,,,2389,,,,,飛躍,5,,
2390,,,,,社会保険料,8,,,,,2390,,,,,業界,5,,
2391,,,,,国家安全保障,8,,,,,2391,,,,,大型,5,,
2392,,,,,原案,8,,,,,2392,,,,,田中,5,,
2393,,,,,日本の農業,8,,,,,2393,,,,,申入れ,5,,
2394,,,,,不幸,8,,,,,2394,,,,,面会,5,,
2395,,,,,多国間,8,,,,,2395,,,,,農政改革,5,,
2396,,,,,国産,8,,,,,2396,,,,,対立,5,,
2397,,,,,日本型,8,,,,,2397,,,,,やる気,5,,
2398,,,,,早急,8,,,,,2398,,,,,付け,5,,
2399,,,,,貸し付け,8,,,,,2399,,,,,お気持ち,5,,
2400,,,,,危機感,8,,,,,2400,,,,,人間の安全保障,5,,
2401,,,,,秘書,8,,,,,2401,,,,,継続的,5,,
2402,,,,,高台移転,8,,,,,2402,,,,,教育基本法,5,,
2403,,,,,震災前,8,,,,,2403,,,,,曖昧,5,,
2404,,,,,専門性,8,,,,,2404,,,,,公教育,5,,
2405,,,,,理事長,8,,,,,2405,,,,,成熟,5,,
2406,,,,,山梨県,8,,,,,2406,,,,,招待,5,,
2407,,,,,増加傾向,8,,,,,2407,,,,,地域社会,5,,
2408,,,,,業況判断,8,,,,,2408,,,,,石油,5,,
2409,,,,,非製造業,8,,,,,2409,,,,,需給,5,,
2410,,,,,自覚,8,,,,,2410,,,,,部局,5,,
2411,,,,,子ども・子育て支援新制度,8,,,,,2411,,,,,日本のために,5,,
2412,,,,,歴史的,8,,,,,2412,,,,,特定疾患,5,,
2413,,,,,復興大臣,8,,,,,2413,,,,,時間労働,5,,
2414,,,,,大型,8,,,,,2414,,,,,本部長,5,,
2415,,,,,福島県,8,,,,,2415,,,,,嘉手納,5,,
2416,,,,,拠出,8,,,,,2416,,,,,情報公開,5,,
2417,,,,,国家安全保障会議,8,,,,,2417,,,,,共同声明,5,,
2418,,,,,国家安全保障戦略,8,,,,,2418,,,,,つき,5,,
2419,,,,,格段,8,,,,,2419,,,,,所得税,5,,
2420,,,,,テロリスト,8,,,,,2420,,,,,独立行政法人,5,,
2421,,,,,特定秘密,8,,,,,2421,,,,,農地集積バンク,5,,
2422,,,,,NATO,8,,,,,2422,,,,,農業経営,5,,
2423,,,,,多大,8,,,,,2423,,,,,位置づけ,5,,
2424,,,,,損害,8,,,,,2424,,,,,実力,5,,
2425,,,,,歴代,8,,,,,2425,,,,,先送り,5,,
2426,,,,,外相,8,,,,,2426,,,,,平和主義,5,,
2427,,,,,スケジュール,8,,,,,2427,,,,,受給者,5,,
2428,,,,,立法府,8,,,,,2428,,,,,侵入,5,,
2429,,,,,配備,8,,,,,2429,,,,,手当て,5,,
2430,,,,,定着,8,,,,,2430,,,,,授業,5,,
2431,,,,,了承,8,,,,,2431,,,,,利点,5,,
2432,,,,,対等,8,,,,,2432,,,,,騒音,5,,
2433,,,,,侵略,8,,,,,2433,,,,,所有,5,,
2434,,,,,鎮霊社,8,,,,,2434,,,,,ごみ,5,,
2435,,,,,誠意,8,,,,,2435,,,,,震災,5,,
2436,,,,,お祈り,8,,,,,2436,,,,,最先端,5,,
2437,,,,,番組,8,,,,,2437,,,,,笑顔,5,,
2438,,,,,韓国側,8,,,,,2438,,,,,受皿,5,,
2439,,,,,事象,8,,,,,2439,,,,,グローバル化,5,,
2440,,,,,長野県,8,,,,,2440,,,,,鉄道,5,,
2441,,,,,大分,8,,,,,2441,,,,,野心,5,,
2442,,,,,報酬,8,,,,,2442,,,,,古来,5,,
2443,,,,,在宅医療,8,,,,,2443,,,,,シェア,5,,
2444,,,,,政治的中立,8,,,,,2444,,,,,海賊,5,,
2445,,,,,家事,8,,,,,2445,,,,,毅然,5,,
2446,,,,,全体像,8,,,,,2446,,,,,埋立,5,,
2447,,,,,補足,8,,,,,2447,,,,,初心,5,,
2448,,,,,柔軟性,8,,,,,2448,,,,,機雷掃海,5,,
2449,,,,,生き物,8,,,,,2449,,,,,警察権,5,,
2450,,,,,合理化,8,,,,,2450,,,,,整合性,5,,
2451,,,,,尊敬,8,,,,,2451,,,,,県民,5,,
2452,,,,,進化,8,,,,,2452,,,,,大戦,5,,
2453,,,,,波及,8,,,,,2453,,,,,規範,5,,
2454,,,,,受益,8,,,,,2454,,,,,一点,5,,
2455,,,,,減免,8,,,,,2455,,,,,かなり,5,,
2456,,,,,副総理,8,,,,,2456,,,,,軍事的,5,,
2457,,,,,途上国,8,,,,,2457,,,,,武力攻撃事態法,5,,
2458,,,,,プレゼンス,8,,,,,2458,,,,,武力攻撃事態対処法,5,,
2459,,,,,妥当,8,,,,,2459,,,,,積み重ね,5,,
2460,,,,,参画,8,,,,,2460,,,,,決算委員会,5,,
2461,,,,,政治的,8,,,,,2461,,,,,態様,5,,
2462,,,,,スタンス,8,,,,,2462,,,,,現行法,5,,
2463,,,,,大阪都構想,8,,,,,2463,,,,,中断,5,,
2464,,,,,件数,8,,,,,2464,,,,,殺傷,5,,
2465,,,,,萩生田,8,,,,,2465,,,,,常時,5,,
2466,,,,,いやいや,8,,,,,2466,,,,,日本側,5,,
2467,,,,,政務官,8,,,,,2467,,,,,三原則,5,,
2468,,,,,衝突,8,,,,,2468,,,,,信用,5,,
2469,,,,,所要,8,,,,,2469,,,,,橋本,5,,
2470,,,,,使い勝手,8,,,,,2470,,,,,安保条約,5,,
2471,,,,,ミックス,8,,,,,2471,,,,,天然ガス,5,,
2472,,,,,多岐,8,,,,,2472,,,,,滋賀県,5,,
2473,,,,,飼料,8,,,,,2473,,,,,複雑,5,,
2474,,,,,フル,8,,,,,2474,,,,,まち・ひと・しごと創生本部,5,,
2475,,,,,配分,8,,,,,2475,,,,,完成,5,,
2476,,,,,プレー,8,,,,,2476,,,,,工場,5,,
2477,,,,,戦力,8,,,,,2477,,,,,選挙戦,5,,
2478,,,,,SEALANE,8,,,,,2478,,,,,遊説,5,,
2479,,,,,議連,8,,,,,2479,,,,,国柄,5,,
2480,,,,,熱心,8,,,,,2480,,,,,結婚,5,,
2481,,,,,十二分,8,,,,,2481,,,,,大切さ,5,,
2482,,,,,業種,8,,,,,2482,,,,,予想,5,,
2483,,,,,九州,8,,,,,2483,,,,,中山間地域,5,,
2484,,,,,経路,8,,,,,2484,,,,,閣僚会議,5,,
2485,,,,,規制緩和,8,,,,,2485,,,,,数値目標,5,,
2486,,,,,最先端,8,,,,,2486,,,,,下等,5,,
2487,,,,,責任野党,8,,,,,2487,,,,,労働者派遣法,5,,
2488,,,,,協調,8,,,,,2488,,,,,派遣先,5,,
2489,,,,,総会,8,,,,,2489,,,,,住宅地,5,,
2490,,,,,航行,8,,,,,2490,,,,,国民総所得,5,,
2491,,,,,近隣諸国,8,,,,,2491,,,,,辞任,5,,
2492,,,,,権能,8,,,,,2492,,,,,独占,5,,
2493,,,,,被害者,8,,,,,2493,,,,,広告,5,,
2494,,,,,国務長官,8,,,,,2494,,,,,秘書官,5,,
2495,,,,,破綻,8,,,,,2495,,,,,調査委員会,5,,
2496,,,,,低迷,8,,,,,2496,,,,,言動,5,,
2497,,,,,社長,8,,,,,2497,,,,,金利,5,,
2498,,,,,おもてなし,8,,,,,2498,,,,,入居,5,,
2499,,,,,生き方,8,,,,,2499,,,,,排出,5,,
2500,,,,,使途,8,,,,,2500,,,,,直結,5,,
2501,,,,,メニュー,8,,,,,2501,,,,,スト,5,,
2502,,,,,不正,8,,,,,2502,,,,,利用者,5,,
2503,,,,,目標達成,8,,,,,2503,,,,,売買,5,,
2504,,,,,変革,8,,,,,2504,,,,,認可,5,,
2505,,,,,利便性,8,,,,,2505,,,,,相対的,5,,
2506,,,,,直近,8,,,,,2506,,,,,報酬,5,,
2507,,,,,過労死,8,,,,,2507,,,,,特産品,5,,
2508,,,,,人事院,8,,,,,2508,,,,,一定期間,5,,
2509,,,,,仮設住宅,8,,,,,2509,,,,,当面,5,,
2510,,,,,現状変更,8,,,,,2510,,,,,管理職,5,,
2511,,,,,最高指揮官,8,,,,,2511,,,,,掲載,5,,
2512,,,,,記述,8,,,,,2512,,,,,五十六,5,,
2513,,,,,原子力発電所,8,,,,,2513,,,,,事象,5,,
2514,,,,,行政改革,8,,,,,2514,,,,,説明責任,5,,
2515,,,,,賛同,8,,,,,2515,,,,,保険制度,5,,
2516,,,,,再就職等監視委員会,8,,,,,2516,,,,,源泉,5,,
2517,,,,,めど,8,,,,,2517,,,,,可否,5,,
2518,,,,,徴兵制,8,,,,,2518,,,,,思うつぼ,5,,
2519,,,,,調達,8,,,,,2519,,,,,空爆,5,,
2520,,,,,切れ目のない対応,8,,,,,2520,,,,,作戦,5,,
2521,,,,,危険物,8,,,,,2521,,,,,全中,5,,
2522,,,,,商工中金,8,,,,,2522,,,,,強調,5,,
2523,,,,,東アジア,8,,,,,2523,,,,,理事,5,,
2524,,,,,地方版,8,,,,,2524,,,,,普天間基地,5,,
2525,,,,,販路,8,,,,,2525,,,,,住民投票,5,,
2526,,,,,中川昭一,8,,,,,2526,,,,,危機感,5,,
2527,,,,,東京一極集中,8,,,,,2527,,,,,人員,5,,
2528,,,,,厚労省,8,,,,,2528,,,,,マルチ,5,,
2529,,,,,誤り,8,,,,,2529,,,,,存立危機事態,5,,
2530,,,,,時差,8,,,,,2530,,,,,ルート,5,,
2531,,,,,輸出企業,8,,,,,2531,,,,,在外邦人,5,,
2532,,,,,原子炉,8,,,,,2532,,,,,依頼,5,,
2533,,,,,巨大,8,,,,,2533,,,,,甚大,5,,
2534,,,,,個人消費,8,,,,,2534,,,,,救助活動,5,,
2535,,,,,柿沢,8,,,,,2535,,,,,ハイレベル,5,,
2536,,,,,法改正案,8,,,,,2536,,,,,激甚災害,5,,
2537,,,,,減少傾向,8,,,,,2537,,,,,熊本,5,,
2538,,,,,商店街,8,,,,,2538,,,,,とく,5,,
2539,,,,,複合,8,,,,,2539,,,,,後ろ盾,5,,
2540,,,,,首都,8,,,,,2540,,,,,新時代,5,,
2541,,,,,大使館,8,,,,,2541,,,,,トイレ,5,,
2542,,,,,提唱,8,,,,,2542,,,,,じゅう,5,,
2543,,,,,人員,8,,,,,2543,,,,,遮断,5,,
2544,,,,,前向き,8,,,,,2544,,,,,下地,5,,
2545,,,,,放棄,8,,,,,2545,,,,,熊本地震,5,,
2546,,,,,技術力,8,,,,,2546,,,,,農林水産大臣,5,,
2547,,,,,片山,8,,,,,2547,,,,,馬毛島,5,,
2548,,,,,引用,8,,,,,2548,,,,,戦術,5,,
2549,,,,,不当,8,,,,,2549,,,,,割り当て,5,,
2550,,,,,OECD,8,,,,,2550,,,,,対等,5,,
2551,,,,,運用基準,8,,,,,2551,,,,,相手方,5,,
2552,,,,,戦闘地域,8,,,,,2552,,,,,スタンス,5,,
2553,,,,,態勢,8,,,,,2553,,,,,お越し,5,,
2554,,,,,二子,8,,,,,2554,,,,,協調,5,,
2555,,,,,幼稚園,8,,,,,2555,,,,,希望出生率,5,,
2556,,,,,東電,8,,,,,2556,,,,,果敢,5,,
2557,,,,,民間事業者,8,,,,,2557,,,,,介入,5,,
2558,,,,,トヨタ,8,,,,,2558,,,,,麻生太郎,5,,
2559,,,,,恩恵,8,,,,,2559,,,,,目標達成,5,,
2560,,,,,威嚇,8,,,,,2560,,,,,剰余金,5,,
2561,,,,,射撃,8,,,,,2561,,,,,画素,5,,
2562,,,,,焦点,8,,,,,2562,,,,,働き方改革実現会議,5,,
2563,,,,,統制,8,,,,,2563,,,,,時間外労働,5,,
2564,,,,,信任,8,,,,,2564,,,,,アルゼンチン,5,,
2565,,,,,濃度,8,,,,,2565,,,,,リマ,5,,
2566,,,,,下問,8,,,,,2566,,,,,高まり,5,,
2567,,,,,岡田代表,8,,,,,2567,,,,,政権移行チーム,5,,
2568,,,,,蓮舫,8,,,,,2568,,,,,国務長官,5,,
2569,,,,,会話,8,,,,,2569,,,,,核実験,5,,
2570,,,,,就業者,8,,,,,2570,,,,,国民年金,5,,
2571,,,,,合計,8,,,,,2571,,,,,井坂,5,,
2572,,,,,かなり,8,,,,,2572,,,,,萩生田,5,,
2573,,,,,民主的,8,,,,,2573,,,,,基礎的,5,,
2574,,,,,休止,8,,,,,2574,,,,,抜き,5,,
2575,,,,,抜き,8,,,,,2575,,,,,模倣品,5,,
2576,,,,,周辺事態,8,,,,,2576,,,,,お伝え,5,,
2577,,,,,履行,8,,,,,2577,,,,,作り,5,,
2578,,,,,希望の同盟,8,,,,,2578,,,,,軸足,5,,
2579,,,,,北朝鮮の核実験,8,,,,,2579,,,,,工業製品,5,,
2580,,,,,走行,8,,,,,2580,,,,,弁護士,5,,
2581,,,,,人工知能,8,,,,,2581,,,,,初期,5,,
2582,,,,,Standing Ovation,8,,,,,2582,,,,,並び,5,,
2583,,,,,ジュバ,8,,,,,2583,,,,,労働分配率,5,,
2584,,,,,一掃,8,,,,,2584,,,,,戦時加算,5,,
2585,,,,,経済連携協定,8,,,,,2585,,,,,使用者,5,,
2586,,,,,今世紀,8,,,,,2586,,,,,スピード感,5,,
2587,,,,,帰還困難区域,8,,,,,2587,,,,,大統領令,5,,
2588,,,,,対人,8,,,,,2588,,,,,不動,5,,
2589,,,,,理財局,8,,,,,2589,,,,,公募,5,,
2590,,,,,籠池,8,,,,,2590,,,,,違反行為,5,,
2591,,,,,集団,8,,,,,2591,,,,,チケット,5,,
2592,,,,,共同記者会見,8,,,,,2592,,,,,恐縮,5,,
2593,,,,,マティス,8,,,,,2593,,,,,PLEDGE,5,,
2594,,,,,国防長官,8,,,,,2594,,,,,難民支援,5,,
2595,,,,,入国管理,8,,,,,2595,,,,,路線,5,,
2596,,,,,内政,8,,,,,2596,,,,,糸魚川,5,,
2597,,,,,渡し,8,,,,,2597,,,,,火災,5,,
2598,,,,,膨大,7,,,,,2598,,,,,不可逆的,5,,
2599,,,,,手順,7,,,,,2599,,,,,絶対値,5,,
2600,,,,,放送法,7,,,,,2600,,,,,団塊の世代,5,,
2601,,,,,自律,7,,,,,2601,,,,,Nation,5,,
2602,,,,,違憲状態,7,,,,,2602,,,,,参考人,5,,
2603,,,,,政治改革,7,,,,,2603,,,,,皇位,5,,
2604,,,,,物品,7,,,,,2604,,,,,抜け穴,5,,
2605,,,,,農産品,7,,,,,2605,,,,,オプション,5,,
2606,,,,,事実関係,7,,,,,2606,,,,,そもそも,5,,
2607,,,,,特命,7,,,,,2607,,,,,テロ行為,5,,
2608,,,,,電源,7,,,,,2608,,,,,自制,5,,
2609,,,,,新しい時代,7,,,,,2609,,,,,ミサイル開発,5,,
2610,,,,,玉木,7,,,,,2610,,,,,惨状,5,,
2611,,,,,進行,7,,,,,2611,,,,,コミット,5,,
2612,,,,,分散,7,,,,,2612,,,,,森友学園,5,,
2613,,,,,センター,7,,,,,2613,,,,,経済制裁,5,,
2614,,,,,回答,7,,,,,2614,,,,,共産党,5,,
2615,,,,,トラブル,7,,,,,2615,,,,,ウラン,5,,
2616,,,,,生産者,7,,,,,2616,,,,,在外公館,5,,
2617,,,,,損壊,7,,,,,2617,,,,,防衛力,5,,
2618,,,,,被害状況,7,,,,,2618,,,,,看護師,5,,
2619,,,,,圧倒的,7,,,,,2619,,,,,ICBM,5,,
2620,,,,,変動,7,,,,,2620,,,,,排他的経済水域,5,,
2621,,,,,被保険者,7,,,,,2621,,,,,インド太平洋,5,,
2622,,,,,結果的,7,,,,,2622,,,,,書面,5,,
2623,,,,,報告書,7,,,,,2623,,,,,さっき,5,,
2624,,,,,集落,7,,,,,2624,,,,,潜在,4,,
2625,,,,,時給,7,,,,,2625,,,,,議席,4,,
2626,,,,,通年,7,,,,,2626,,,,,研修,4,,
2627,,,,,賃金水準,7,,,,,2627,,,,,国難,4,,
2628,,,,,教授,7,,,,,2628,,,,,未来志向,4,,
2629,,,,,短観,7,,,,,2629,,,,,高さ,4,,
2630,,,,,谷垣,7,,,,,2630,,,,,専門的,4,,
2631,,,,,資材,7,,,,,2631,,,,,大都市,4,,
2632,,,,,増設,7,,,,,2632,,,,,国際競争力,4,,
2633,,,,,出身,7,,,,,2633,,,,,地理,4,,
2634,,,,,サイバー攻撃,7,,,,,2634,,,,,つながり,4,,
2635,,,,,防衛省,7,,,,,2635,,,,,中谷,4,,
2636,,,,,特徴,7,,,,,2636,,,,,事務局,4,,
2637,,,,,保全,7,,,,,2637,,,,,漏えい,4,,
2638,,,,,緻密,7,,,,,2638,,,,,先日,4,,
2639,,,,,報道機関,7,,,,,2639,,,,,内閣官房,4,,
2640,,,,,岩屋,7,,,,,2640,,,,,残り,4,,
2641,,,,,主流,7,,,,,2641,,,,,潜水艦,4,,
2642,,,,,イニシアチブ,7,,,,,2642,,,,,閉鎖,4,,
2643,,,,,NPT,7,,,,,2643,,,,,コミュニティー,4,,
2644,,,,,懇談,7,,,,,2644,,,,,全面,4,,
2645,,,,,超党派,7,,,,,2645,,,,,補足,4,,
2646,,,,,遠目,7,,,,,2646,,,,,地位協定,4,,
2647,,,,,慰安婦問題,7,,,,,2647,,,,,周知徹底,4,,
2648,,,,,農水省,7,,,,,2648,,,,,納得,4,,
2649,,,,,地位協定,7,,,,,2649,,,,,春闘,4,,
2650,,,,,合祀,7,,,,,2650,,,,,公助,4,,
2651,,,,,礼儀,7,,,,,2651,,,,,物価上昇,4,,
2652,,,,,駆けつけ警護,7,,,,,2652,,,,,火力発電,4,,
2653,,,,,春闘,7,,,,,2653,,,,,減免,4,,
2654,,,,,バリア,7,,,,,2654,,,,,奪取,4,,
2655,,,,,中学校,7,,,,,2655,,,,,書類,4,,
2656,,,,,自宅,7,,,,,2656,,,,,交代,4,,
2657,,,,,見方,7,,,,,2657,,,,,たま,4,,
2658,,,,,いじめ,7,,,,,2658,,,,,世界各国,4,,
2659,,,,,答申,7,,,,,2659,,,,,減反,4,,
2660,,,,,ベスト,7,,,,,2660,,,,,悲劇,4,,
2661,,,,,専門職,7,,,,,2661,,,,,尊敬,4,,
2662,,,,,隅々,7,,,,,2662,,,,,正念場,4,,
2663,,,,,許可,7,,,,,2663,,,,,取締り,4,,
2664,,,,,キャリア,7,,,,,2664,,,,,ステージ,4,,
2665,,,,,本意,7,,,,,2665,,,,,英知,4,,
2666,,,,,中期,7,,,,,2666,,,,,結集,4,,
2667,,,,,当選,7,,,,,2667,,,,,首都直下地震,4,,
2668,,,,,野田政権,7,,,,,2668,,,,,南海トラフ地震,4,,
2669,,,,,不正受給,7,,,,,2669,,,,,脆弱性,4,,
2670,,,,,窓口,7,,,,,2670,,,,,多国間,4,,
2671,,,,,農業委員会,7,,,,,2671,,,,,教育長,4,,
2672,,,,,規制改革会議,7,,,,,2672,,,,,数々,4,,
2673,,,,,三分,7,,,,,2673,,,,,世界最高,4,,
2674,,,,,教育再生実行会議,7,,,,,2674,,,,,イベント,4,,
2675,,,,,技術協力,7,,,,,2675,,,,,大会組織委員会,4,,
2676,,,,,増進,7,,,,,2676,,,,,松田,4,,
2677,,,,,高等教育,7,,,,,2677,,,,,半数,4,,
2678,,,,,返済,7,,,,,2678,,,,,立党,4,,
2679,,,,,不十分,7,,,,,2679,,,,,職業,4,,
2680,,,,,昼食,7,,,,,2680,,,,,権限移譲,4,,
2681,,,,,外相会談,7,,,,,2681,,,,,男女,4,,
2682,,,,,労働力人口,7,,,,,2682,,,,,実証,4,,
2683,,,,,強み,7,,,,,2683,,,,,単位,4,,
2684,,,,,進出,7,,,,,2684,,,,,起業,4,,
2685,,,,,公共,7,,,,,2685,,,,,意識,4,,
2686,,,,,本会議,7,,,,,2686,,,,,財政政策,4,,
2687,,,,,歳入,7,,,,,2687,,,,,性質,4,,
2688,,,,,補正,7,,,,,2688,,,,,政務官,4,,
2689,,,,,自主的,7,,,,,2689,,,,,東京大会,4,,
2690,,,,,審判,7,,,,,2690,,,,,工夫,4,,
2691,,,,,グローバル人材,7,,,,,2691,,,,,重点的,4,,
2692,,,,,通用,7,,,,,2692,,,,,帰還困難区域,4,,
2693,,,,,それら,7,,,,,2693,,,,,十全,4,,
2694,,,,,自衛艦,7,,,,,2694,,,,,日本国憲法,4,,
2695,,,,,そうだ,7,,,,,2695,,,,,公共性,4,,
2696,,,,,最適,7,,,,,2696,,,,,自主,4,,
2697,,,,,国際テロ,7,,,,,2697,,,,,尹炳世,4,,
2698,,,,,ODA,7,,,,,2698,,,,,挨拶,4,,
2699,,,,,勉強,7,,,,,2699,,,,,ホットライン,4,,
2700,,,,,納付,7,,,,,2700,,,,,マスコミ,4,,
2701,,,,,コミュニケーション,7,,,,,2701,,,,,公的,4,,
2702,,,,,山口,7,,,,,2702,,,,,地方交付税,4,,
2703,,,,,企業家,7,,,,,2703,,,,,新生活,4,,
2704,,,,,薬物,7,,,,,2704,,,,,団結,4,,
2705,,,,,関心,7,,,,,2705,,,,,礼儀,4,,
2706,,,,,三党合意,7,,,,,2706,,,,,農林水産委員会,4,,
2707,,,,,両者,7,,,,,2707,,,,,用地取得,4,,
2708,,,,,マーケット,7,,,,,2708,,,,,不便,4,,
2709,,,,,農政改革,7,,,,,2709,,,,,高み,4,,
2710,,,,,一本,7,,,,,2710,,,,,修正,4,,
2711,,,,,岩盤,7,,,,,2711,,,,,石破,4,,
2712,,,,,従事,7,,,,,2712,,,,,幹事長,4,,
2713,,,,,リンク,7,,,,,2713,,,,,経営判断,4,,
2714,,,,,海賊,7,,,,,2714,,,,,大豆,4,,
2715,,,,,見事,7,,,,,2715,,,,,飼料,4,,
2716,,,,,個別的,7,,,,,2716,,,,,産地,4,,
2717,,,,,活発,7,,,,,2717,,,,,産業競争力会議,4,,
2718,,,,,平穏,7,,,,,2718,,,,,景況感,4,,
2719,,,,,夫婦。,7,,,,,2719,,,,,地域活性化,4,,
2720,,,,,本土,7,,,,,2720,,,,,具体策,4,,
2721,,,,,残り,7,,,,,2721,,,,,取扱い,4,,
2722,,,,,成熟,7,,,,,2722,,,,,私人,4,,
2723,,,,,胸襟,7,,,,,2723,,,,,正面,4,,
2724,,,,,この国。,7,,,,,2724,,,,,裨益,4,,
2725,,,,,地方分権,7,,,,,2725,,,,,構造変化,4,,
2726,,,,,開通,7,,,,,2726,,,,,ライフスタイル,4,,
2727,,,,,ミス,7,,,,,2727,,,,,矛盾,4,,
2728,,,,,労働環境,7,,,,,2728,,,,,外交上,4,,
2729,,,,,ベトナム,7,,,,,2729,,,,,おかげ,4,,
2730,,,,,排出,7,,,,,2730,,,,,見方,4,,
2731,,,,,表示,7,,,,,2731,,,,,保証,4,,
2732,,,,,幹部,7,,,,,2732,,,,,直接投資,4,,
2733,,,,,砂川事件,7,,,,,2733,,,,,外国企業,4,,
2734,,,,,南西,7,,,,,2734,,,,,貿易赤字,4,,
2735,,,,,地区,7,,,,,2735,,,,,経理,4,,
2736,,,,,ニュース,7,,,,,2736,,,,,座長,4,,
2737,,,,,財政再建,7,,,,,2737,,,,,以南,4,,
2738,,,,,技術開発,7,,,,,2738,,,,,公文書,4,,
2739,,,,,市長,7,,,,,2739,,,,,税額控除,4,,
2740,,,,,聴取,7,,,,,2740,,,,,低所得者,4,,
2741,,,,,疎通,7,,,,,2741,,,,,利便性,4,,
2742,,,,,助言,7,,,,,2742,,,,,行政事業レビュー,4,,
2743,,,,,国際競争力,7,,,,,2743,,,,,切磋琢磨,4,,
2744,,,,,具体策,7,,,,,2744,,,,,マックス・ウェーバー,4,,
2745,,,,,年金生活,7,,,,,2745,,,,,引き下げ,4,,
2746,,,,,分化,7,,,,,2746,,,,,軌道,4,,
2747,,,,,かかりつけ医,7,,,,,2747,,,,,リース,4,,
2748,,,,,使用者,7,,,,,2748,,,,,電気事業法,4,,
2749,,,,,受給者,7,,,,,2749,,,,,資材,4,,
2750,,,,,用地取得,7,,,,,2750,,,,,異例,4,,
2751,,,,,返納,7,,,,,2751,,,,,適地,4,,
2752,,,,,学力,7,,,,,2752,,,,,非核三原則,4,,
2753,,,,,山積,7,,,,,2753,,,,,失敗,4,,
2754,,,,,任命責任,7,,,,,2754,,,,,国立,4,,
2755,,,,,学習,7,,,,,2755,,,,,意向,4,,
2756,,,,,検定,7,,,,,2756,,,,,欧米,4,,
2757,,,,,都市部,7,,,,,2757,,,,,ミサイル発射,4,,
2758,,,,,啓発,7,,,,,2758,,,,,形態,4,,
2759,,,,,肉親,7,,,,,2759,,,,,段階的,4,,
2760,,,,,十五,7,,,,,2760,,,,,届け,4,,
2761,,,,,整合,7,,,,,2761,,,,,行政改革,4,,
2762,,,,,中間貯蔵施設,7,,,,,2762,,,,,付与,4,,
2763,,,,,延長線,7,,,,,2763,,,,,石破茂,4,,
2764,,,,,地域間,7,,,,,2764,,,,,新興国,4,,
2765,,,,,電気,7,,,,,2765,,,,,広域,4,,
2766,,,,,全面自由化,7,,,,,2766,,,,,トラック,4,,
2767,,,,,船舶,7,,,,,2767,,,,,領海侵入,4,,
2768,,,,,攻め,7,,,,,2768,,,,,土地利用,4,,
2769,,,,,延べ,7,,,,,2769,,,,,現場主義,4,,
2770,,,,,自動車メーカー,7,,,,,2770,,,,,会計,4,,
2771,,,,,果敢,7,,,,,2771,,,,,コミュニケーション,4,,
2772,,,,,信頼性,7,,,,,2772,,,,,中学校,4,,
2773,,,,,移民政策,7,,,,,2773,,,,,バイデン副大統領,4,,
2774,,,,,展望,7,,,,,2774,,,,,冒頭,4,,
2775,,,,,霞が関,7,,,,,2775,,,,,海上自衛隊,4,,
2776,,,,,社員,7,,,,,2776,,,,,原因究明,4,,
2777,,,,,本年度,7,,,,,2777,,,,,元大統領,4,,
2778,,,,,追及,7,,,,,2778,,,,,勇気,4,,
2779,,,,,生産拠点,7,,,,,2779,,,,,世の中,4,,
2780,,,,,海外投資,7,,,,,2780,,,,,北海道から沖縄まで,4,,
2781,,,,,届け,7,,,,,2781,,,,,イチゴ,4,,
2782,,,,,操作,7,,,,,2782,,,,,公営住宅,4,,
2783,,,,,安倍さん,7,,,,,2783,,,,,地区,4,,
2784,,,,,均てん,7,,,,,2784,,,,,ジャパン,4,,
2785,,,,,運転,7,,,,,2785,,,,,国民健康保険,4,,
2786,,,,,開発支援,7,,,,,2786,,,,,愛ちゃん,4,,
2787,,,,,石破茂,7,,,,,2787,,,,,細胞,4,,
2788,,,,,ヒアリング,7,,,,,2788,,,,,治療法,4,,
2789,,,,,新卒,7,,,,,2789,,,,,大人,4,,
2790,,,,,タイプ,7,,,,,2790,,,,,夫婦。,4,,
2791,,,,,ギャンブル依存症,7,,,,,2791,,,,,専念,4,,
2792,,,,,減速,7,,,,,2792,,,,,留学生,4,,
2793,,,,,感動,7,,,,,2793,,,,,留学,4,,
2794,,,,,推測,7,,,,,2794,,,,,ハブ,4,,
2795,,,,,結合,7,,,,,2795,,,,,ベンチャー,4,,
2796,,,,,麻生政権,7,,,,,2796,,,,,技術開発,4,,
2797,,,,,セキュリティー,7,,,,,2797,,,,,医薬品,4,,
2798,,,,,相続税,7,,,,,2798,,,,,電力会社,4,,
2799,,,,,イニシアティブ,7,,,,,2799,,,,,支払,4,,
