,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt
1243,,,憧れる,1.0,ベースアップ,22,,
1244,,,長ける,1.0,成長産業,22,,
1245,,,争える,1.0,アプローチ,22,,
1246,,,苦しめる,1.0,かかわり,22,,
1247,,,問い詰める,1.0,定義,22,,
1248,,,帯びる,1.0,人件費,22,,
1249,,,合わす,1.0,きずな,22,,
1250,,,供する,1.0,認知症,22,,
1251,,,,,機雷掃海,22,,
1252,,,,,印象,22,,
1253,,,,,まち・ひと・しごと創生本部,22,,
1254,,,,,北朝鮮側,22,,
1255,,,,,今月,22,,
1256,,,,,局長,22,,
1257,,,,,制裁,22,,
1258,,,,,出し手,21,,
1259,,,,,自衛隊法,21,,
1260,,,,,局面,21,,
1261,,,,,日米首脳会談,21,,
1262,,,,,側面,21,,
1263,,,,,意見交換,21,,
1264,,,,,IAEA,21,,
1265,,,,,一つ一つ,21,,
1266,,,,,ソフト,21,,
1267,,,,,問題意識,21,,
1268,,,,,責務,21,,
1269,,,,,全般,21,,
1270,,,,,工場,21,,
1271,,,,,着席,21,,
1272,,,,,近く,21,,
1273,,,,,長い間,21,,
1274,,,,,横ばい,21,,
1275,,,,,記憶,21,,
1276,,,,,情報収集,21,,
1277,,,,,核兵器,21,,
1278,,,,,日韓,21,,
1279,,,,,今日,21,,
1280,,,,,前面,21,,
1281,,,,,日米安保条約,21,,
1282,,,,,在日米軍,21,,
1283,,,,,情報提供,21,,
1284,,,,,内外,21,,
1285,,,,,野郎,21,,
1286,,,,,半減,21,,
1287,,,,,法定,21,,
1288,,,,,国家戦略特区,21,,
1289,,,,,療養,21,,
1290,,,,,研究開発,21,,
1291,,,,,クリア,21,,
1292,,,,,雰囲気,21,,
1293,,,,,増大,21,,
1294,,,,,適正化,21,,
1295,,,,,Osprey,21,,
1296,,,,,創意工夫,21,,
1297,,,,,真ん中,21,,
1298,,,,,世界一,21,,
1299,,,,,資料,21,,
1300,,,,,参入,21,,
1301,,,,,受皿,21,,
1302,,,,,容認,21,,
1303,,,,,高騰,21,,
1304,,,,,違法,21,,
1305,,,,,退避,21,,
1306,,,,,封鎖,21,,
1307,,,,,加算,21,,
1308,,,,,あっせん,21,,
1309,,,,,多数,20,,
1310,,,,,許容,20,,
1311,,,,,発行,20,,
1312,,,,,一方的,20,,
1313,,,,,以内,20,,
1314,,,,,今年度,20,,
1315,,,,,抜本,20,,
1316,,,,,ホルムズ海峡,20,,
1317,,,,,マインド,20,,
1318,,,,,ハード,20,,
1319,,,,,方策,20,,
1320,,,,,予測,20,,
1321,,,,,現行法,20,,
1322,,,,,両方,20,,
1323,,,,,ちゅうちょ,20,,
1324,,,,,一点,20,,
1325,,,,,既存,20,,
1326,,,,,国境,20,,
1327,,,,,チェック,20,,
1328,,,,,専門的,20,,
1329,,,,,昨日,20,,
1330,,,,,元気,20,,
1331,,,,,個別具体,20,,
1332,,,,,危機,20,,
1333,,,,,財政支援,20,,
1334,,,,,分担,20,,
1335,,,,,高齢,20,,
1336,,,,,一倍,20,,
1337,,,,,安定化,20,,
1338,,,,,大前提,20,,
1339,,,,,経済的,20,,
1340,,,,,東京都,20,,
1341,,,,,普及,20,,
1342,,,,,マクロ,20,,
1343,,,,,最低賃金,20,,
1344,,,,,土地,20,,
1345,,,,,監視,20,,
1346,,,,,常識,20,,
1347,,,,,一月,20,,
1348,,,,,面積,20,,
1349,,,,,八割,20,,
1350,,,,,回避,20,,
1351,,,,,俯瞰,20,,
1352,,,,,台風,20,,
1353,,,,,APEC,20,,
1354,,,,,基礎年金,20,,
1355,,,,,介護報酬,20,,
1356,,,,,包括,20,,
1357,,,,,真剣,20,,
1358,,,,,総動員,20,,
1359,,,,,ぐるみ,20,,
1360,,,,,説明責任,20,,
1361,,,,,ワンストップ,20,,
1362,,,,,安定的,20,,
1363,,,,,先進,20,,
1364,,,,,ドイツ,20,,
1365,,,,,経営委員,19,,
1366,,,,,定数,19,,
1367,,,,,遺憾,19,,
1368,,,,,部門,19,,
1369,,,,,政治資金,19,,
1370,,,,,参議院選挙,19,,
1371,,,,,文書,19,,
1372,,,,,数値,19,,
1373,,,,,方法,19,,
1374,,,,,ソチ,19,,
1375,,,,,記者会見,19,,
1376,,,,,的確,19,,
1377,,,,,救出,19,,
1378,,,,,デフレマインド,19,,
1379,,,,,長妻,19,,
1380,,,,,立案,19,,
1381,,,,,職務,19,,
1382,,,,,唯一,19,,
1383,,,,,被爆,19,,
1384,,,,,優先順位,19,,
1385,,,,,性格,19,,
1386,,,,,収集,19,,
1387,,,,,あなた,19,,
1388,,,,,あと,19,,
1389,,,,,首長,19,,
1390,,,,,安定性,19,,
1391,,,,,労働者派遣法,19,,
1392,,,,,労働市場,19,,
1393,,,,,構造改革,19,,
1394,,,,,次世代,19,,
1395,,,,,文部科学大臣,19,,
1396,,,,,喫緊,19,,
1397,,,,,高度,19,,
1398,,,,,解散,19,,
1399,,,,,実務,19,,
1400,,,,,そう,19,,
1401,,,,,保有,19,,
1402,,,,,どちら,19,,
1403,,,,,待った,19,,
1404,,,,,効率的,19,,
1405,,,,,はず,19,,
1406,,,,,正当,19,,
1407,,,,,市街地,19,,
1408,,,,,個性,19,,
1409,,,,,南シナ海,19,,
1410,,,,,モデル,19,,
1411,,,,,記録,19,,
1412,,,,,年齢,19,,
1413,,,,,固定,19,,
1414,,,,,最優先,19,,
1415,,,,,科学,19,,
1416,,,,,移行,19,,
1417,,,,,割り,19,,
1418,,,,,安倍晋三,19,,
1419,,,,,一環,19,,
1420,,,,,発出,19,,
1421,,,,,売却,19,,
1422,,,,,法理,19,,
1423,,,,,食品,19,,
1424,,,,,会計検査院,19,,
1425,,,,,時点,18,,
1426,,,,,緊急,18,,
1427,,,,,外務省,18,,
1428,,,,,着手,18,,
1429,,,,,減額,18,,
1430,,,,,謙虚,18,,
1431,,,,,依存,18,,
1432,,,,,一般論,18,,
1433,,,,,甘利,18,,
1434,,,,,品目,18,,
1435,,,,,情熱,18,,
1436,,,,,御冥福をお祈り,18,,
1437,,,,,予防,18,,
1438,,,,,汚染水,18,,
1439,,,,,財政政策,18,,
1440,,,,,外部,18,,
1441,,,,,浜田,18,,
1442,,,,,山本,18,,
1443,,,,,スポーツ,18,,
1444,,,,,海上保安庁,18,,
1445,,,,,部分,18,,
1446,,,,,交換,18,,
1447,,,,,つもり,18,,
1448,,,,,裁判,18,,
1449,,,,,工夫,18,,
1450,,,,,外国人観光客,18,,
1451,,,,,教育行政,18,,
1452,,,,,一律,18,,
1453,,,,,有意義,18,,
1454,,,,,帰属,18,,
1455,,,,,精神,18,,
1456,,,,,株式,18,,
1457,,,,,製造,18,,
1458,,,,,抗議,18,,
1459,,,,,その他,18,,
1460,,,,,関係機関,18,,
1461,,,,,当局,18,,
1462,,,,,計上,18,,
1463,,,,,統計,18,,
1464,,,,,講演,18,,
1465,,,,,固定化,18,,
1466,,,,,全面,18,,
1467,,,,,税制改正,18,,
1468,,,,,断固,18,,
1469,,,,,東シナ海,18,,
1470,,,,,自動車,18,,
1471,,,,,当面,18,,
1472,,,,,二つ割り,18,,
1473,,,,,農林,18,,
1474,,,,,労働時間,18,,
1475,,,,,事務所,18,,
1476,,,,,認定,18,,
1477,,,,,OB,18,,
1478,,,,,立地,18,,
1479,,,,,付与,18,,
1480,,,,,辻元,18,,
1481,,,,,小川,18,,
1482,,,,,実効性,18,,
1483,,,,,幼児教育,18,,
1484,,,,,専守防衛,18,,
1485,,,,,名誉校長,18,,
1486,,,,,総選挙,17,,
1487,,,,,その間,17,,
1488,,,,,議員立法,17,,
1489,,,,,パッケージ,17,,
1490,,,,,体質,17,,
1491,,,,,黒田,17,,
1492,,,,,基本法,17,,
1493,,,,,シンガポール,17,,
1494,,,,,エネルギー政策,17,,
1495,,,,,番目,17,,
1496,,,,,技術的,17,,
1497,,,,,現時点,17,,
1498,,,,,六次産業,17,,
1499,,,,,不適切,17,,
1500,,,,,両面,17,,
1501,,,,,無利子,17,,
1502,,,,,一連,17,,
1503,,,,,連絡,17,,
1504,,,,,お見舞い,17,,
1505,,,,,災害公営住宅,17,,
1506,,,,,補助金,17,,
1507,,,,,教訓,17,,
1508,,,,,短時間,17,,
1509,,,,,従業員,17,,
1510,,,,,高校,17,,
1511,,,,,担当,17,,
1512,,,,,分配,17,,
1513,,,,,理想,17,,
1514,,,,,拡散,17,,
1515,,,,,知識,17,,
1516,,,,,艦船,17,,
1517,,,,,名誉,17,,
1518,,,,,経済界,17,,
1519,,,,,開花,17,,
1520,,,,,診療報酬,17,,
1521,,,,,グローバルな,17,,
1522,,,,,受け手,17,,
1523,,,,,きめ細か,17,,
1524,,,,,北方四島,17,,
1525,,,,,急速,17,,
1526,,,,,引き下げ,17,,
1527,,,,,事前,17,,
1528,,,,,中核,17,,
1529,,,,,海江田,17,,
1530,,,,,万が一,17,,
1531,,,,,規律,17,,
1532,,,,,江田,17,,
1533,,,,,基金,17,,
1534,,,,,山口県,17,,
1535,,,,,実力,17,,
1536,,,,,後ろ,17,,
1537,,,,,空中給油機,17,,
1538,,,,,監督,17,,
1539,,,,,戦略的互恵関係,17,,
1540,,,,,緊張感,17,,
1541,,,,,役員,17,,
1542,,,,,現役,17,,
1543,,,,,医薬品,17,,
1544,,,,,地域防災計画,17,,
1545,,,,,つき,17,,
1546,,,,,各省,17,,
1547,,,,,国連総会,17,,
1548,,,,,ニューヨーク,17,,
1549,,,,,移動,17,,
1550,,,,,記事,17,,
1551,,,,,原材料,17,,
1552,,,,,政府見解,17,,
1553,,,,,空爆,17,,
1554,,,,,日報,17,,
1555,,,,,岡田,16,,
1556,,,,,自衛権,16,,
1557,,,,,立法,16,,
1558,,,,,通告,16,,
1559,,,,,アクセス,16,,
1560,,,,,ガス,16,,
1561,,,,,した,16,,
1562,,,,,支払い,16,,
1563,,,,,田中,16,,
1564,,,,,福島第一原発,16,,
1565,,,,,パネル,16,,
1566,,,,,代理,16,,
1567,,,,,稲田,16,,
1568,,,,,勤労,16,,
1569,,,,,条文,16,,
1570,,,,,教育費,16,,
1571,,,,,感謝,16,,
1572,,,,,強固,16,,
1573,,,,,客観的,16,,
1574,,,,,ないじゃないですか,16,,
1575,,,,,犠牲,16,,
1576,,,,,弾薬,16,,
1577,,,,,現行憲法,16,,
1578,,,,,与野党,16,,
1579,,,,,特例,16,,
1580,,,,,医師,16,,
1581,,,,,航空機,16,,
1582,,,,,指導者,16,,
1583,,,,,値段,16,,
1584,,,,,公海,16,,
1585,,,,,創造,16,,
1586,,,,,振興,16,,
1587,,,,,販売,16,,
1588,,,,,一生懸命,16,,
1589,,,,,採用,16,,
1590,,,,,本格,16,,
1591,,,,,記載,16,,
1592,,,,,アップ,16,,
1593,,,,,電話会談,16,,
1594,,,,,オープン,16,,
1595,,,,,緊急時,16,,
1596,,,,,飛行,16,,
1597,,,,,地球儀,16,,
1598,,,,,答え,16,,
1599,,,,,ならでは,16,,
1600,,,,,役所,16,,
1601,,,,,開業,16,,
1602,,,,,試み,16,,
1603,,,,,公務,16,,
1604,,,,,大阪,16,,
1605,,,,,天下り,16,,
1606,,,,,試算,16,,
1607,,,,,断行,16,,
1608,,,,,留意,16,,
1609,,,,,家内,16,,
1610,,,,,停戦合意,16,,
1611,,,,,国際平和支援法,16,,
1612,,,,,働き方改革実現会議,16,,
1613,,,,,熊本地震,16,,
1614,,,,,一億総活躍,16,,
1615,,,,,任命,15,,
1616,,,,,論点,15,,
1617,,,,,きっかけ,15,,
1618,,,,,民主,15,,
1619,,,,,妥結,15,,
1620,,,,,復帰,15,,
1621,,,,,撤廃,15,,
1622,,,,,条項,15,,
1623,,,,,非難,15,,
1624,,,,,日本企業,15,,
1625,,,,,支障,15,,
1626,,,,,甚大,15,,
1627,,,,,燃料,15,,
1628,,,,,帰還,15,,
1629,,,,,昨年末,15,,
1630,,,,,具体化,15,,
1631,,,,,訪米,15,,
1632,,,,,最中,15,,
1633,,,,,山井,15,,
1634,,,,,この道,15,,
1635,,,,,日銀,15,,
1636,,,,,固有,15,,
1637,,,,,構想,15,,
1638,,,,,確定,15,,
1639,,,,,ミサイル発射,15,,
1640,,,,,撤回,15,,
1641,,,,,否定,15,,
1642,,,,,融資,15,,
1643,,,,,教育基本法,15,,
1644,,,,,同盟関係,15,,
1645,,,,,世界じゅう,15,,
1646,,,,,地域包括ケアシステム,15,,
1647,,,,,了解,15,,
1648,,,,,奪還,15,,
1649,,,,,異常,15,,
1650,,,,,獲得,15,,
1651,,,,,ASEAN,15,,
1652,,,,,一緒,15,,
1653,,,,,平和主義,15,,
1654,,,,,とく,15,,
1655,,,,,底上げ,15,,
1656,,,,,批准,15,,
1657,,,,,人間,15,,
1658,,,,,中国側,15,,
1659,,,,,農村,15,,
1660,,,,,千円,15,,
1661,,,,,農政,15,,
1662,,,,,テーマ,15,,
1663,,,,,言い方,15,,
1664,,,,,海上,15,,
1665,,,,,発意,15,,
1666,,,,,指名,15,,
1667,,,,,日本政府,15,,
1668,,,,,廃炉,15,,
1669,,,,,軽減税率,15,,
1670,,,,,発想,15,,
1671,,,,,ばらまき,15,,
1672,,,,,体系,15,,
1673,,,,,月額,15,,
1674,,,,,前年,15,,
1675,,,,,一変,15,,
1676,,,,,医療保険,15,,
1677,,,,,敷設,15,,
1678,,,,,このまま,15,,
1679,,,,,合理,15,,
1680,,,,,税額控除,15,,
1681,,,,,備え,15,,
1682,,,,,訂正,15,,
1683,,,,,だめ,15,,
1684,,,,,枝野,15,,
1685,,,,,東京電力,15,,
1686,,,,,新興国,15,,
1687,,,,,左右,15,,
1688,,,,,中谷,15,,
1689,,,,,一人親家庭,15,,
1690,,,,,統一,14,,
1691,,,,,反応,14,,
1692,,,,,内閣総理大臣,14,,
1693,,,,,中立,14,,
1694,,,,,きた,14,,
1695,,,,,治安,14,,
1696,,,,,共通認識,14,,
1697,,,,,醸成,14,,
1698,,,,,二月,14,,
1699,,,,,茂木,14,,
1700,,,,,主義,14,,
1701,,,,,長年,14,,
1702,,,,,若い人たち,14,,
1703,,,,,二次,14,,
1704,,,,,リード,14,,
1705,,,,,訪日,14,,
1706,,,,,潜在,14,,
1707,,,,,古屋,14,,
1708,,,,,以前,14,,
1709,,,,,半ば,14,,
1710,,,,,再開,14,,
1711,,,,,加入,14,,
1712,,,,,デフレ経済,14,,
1713,,,,,災害対策基本法,14,,
1714,,,,,物価上昇,14,,
1715,,,,,配置,14,,
1716,,,,,世界各国,14,,
1717,,,,,選手,14,,
1718,,,,,交付金,14,,
1719,,,,,受診,14,,
1720,,,,,取得,14,,
1721,,,,,対話のドア,14,,
1722,,,,,周年,14,,
1723,,,,,あれ,14,,
1724,,,,,近傍,14,,
1725,,,,,再々,14,,
1726,,,,,立憲主義,14,,
1727,,,,,教育委員会,14,,
1728,,,,,靖国神社,14,,
1729,,,,,カ国,14,,
1730,,,,,ホームページ,14,,
1731,,,,,基軸,14,,
1732,,,,,交通,14,,
1733,,,,,疾病,14,,
1734,,,,,選定,14,,
1735,,,,,所在,14,,
1736,,,,,全員,14,,
1737,,,,,金額,14,,
1738,,,,,前原,14,,
1739,,,,,無駄,14,,
1740,,,,,無駄遣い,14,,
1741,,,,,民営化,14,,
1742,,,,,岩盤規制,14,,
1743,,,,,領土問題,14,,
1744,,,,,審議会,14,,
1745,,,,,欧州,14,,
1746,,,,,道路,14,,
1747,,,,,人材育成,14,,
1748,,,,,定員,14,,
1749,,,,,特区,14,,
1750,,,,,通報,14,,
1751,,,,,核実験,14,,
1752,,,,,平和的,14,,
1753,,,,,友好,14,,
1754,,,,,点検,14,,
1755,,,,,商品,14,,
1756,,,,,インセンティブ,14,,
1757,,,,,尖閣諸島,14,,
1758,,,,,NPO,14,,
1759,,,,,厳正,14,,
1760,,,,,軍事,14,,
1761,,,,,当事者,14,,
1762,,,,,代替,14,,
1763,,,,,先月,14,,
1764,,,,,基礎,14,,
1765,,,,,掃海,14,,
1766,,,,,保証,14,,
1767,,,,,低所得者,14,,
1768,,,,,スピード感,14,,
1769,,,,,処分,14,,
1770,,,,,火山,14,,
1771,,,,,訴訟,14,,
1772,,,,,豪州,14,,
1773,,,,,ドル,14,,
1774,,,,,安保理,14,,
1775,,,,,安保,14,,
1776,,,,,存分,14,,
1777,,,,,地理的,14,,
1778,,,,,事柄,14,,
1779,,,,,JT,14,,
1780,,,,,中東,14,,
1781,,,,,フェア,14,,
1782,,,,,罰則,14,,
1783,,,,,トランプ政権,14,,
1784,,,,,武器使用,13,,
1785,,,,,裁量,13,,
1786,,,,,カジノ,13,,
1787,,,,,参考,13,,
1788,,,,,前回,13,,
1789,,,,,処理,13,,
1790,,,,,食料,13,,
1791,,,,,お子さん,13,,
1792,,,,,アジア太平洋,13,,
1793,,,,,国会決議,13,,
1794,,,,,賠償,13,,
1795,,,,,位置づけ,13,,
1796,,,,,日本の経済,13,,
1797,,,,,農産物,13,,
1798,,,,,主要,13,,
1799,,,,,除染,13,,
1800,,,,,地位,13,,
1801,,,,,重点的,13,,
1802,,,,,指針,13,,
1803,,,,,交付,13,,
1804,,,,,まちづくり,13,,
1805,,,,,工事,13,,
1806,,,,,やり方,13,,
1807,,,,,厚生年金,13,,
1808,,,,,誕生,13,,
1809,,,,,有識者会議,13,,
1810,,,,,孤立,13,,
1811,,,,,普通,13,,
1812,,,,,第一,13,,
1813,,,,,広島,13,,
1814,,,,,惨禍,13,,
1815,,,,,オペレーション,13,,
1816,,,,,安全保障政策,13,,
1817,,,,,限界,13,,
1818,,,,,最小限,13,,
1819,,,,,イラク,13,,
1820,,,,,経団連,13,,
1821,,,,,見込み,13,,
1822,,,,,登用,13,,
1823,,,,,田村,13,,
1824,,,,,援助,13,,
1825,,,,,前年比,13,,
1826,,,,,金利,13,,
1827,,,,,責任感,13,,
1828,,,,,福祉,13,,
1829,,,,,相互,13,,
1830,,,,,マクロ経済スライド,13,,
1831,,,,,手当,13,,
1832,,,,,育児,13,,
1833,,,,,中長期,13,,
1834,,,,,演説,13,,
1835,,,,,大阪府,13,,
1836,,,,,周知,13,,
1837,,,,,分離,13,,
1838,,,,,人物,13,,
1839,,,,,減災,13,,
1840,,,,,公的,13,,
1841,,,,,対外,13,,
1842,,,,,人的,13,,
1843,,,,,統合,13,,
1844,,,,,日中関係,13,,
1845,,,,,やる気,13,,
1846,,,,,数量,13,,
1847,,,,,計算,13,,
1848,,,,,大事,13,,
1849,,,,,阻止,13,,
1850,,,,,勝利,13,,
1851,,,,,リニア中央新幹線,13,,
1852,,,,,鉄道,13,,
1853,,,,,地域活性化,13,,
1854,,,,,正当性,13,,
1855,,,,,ビッグデータ,13,,
1856,,,,,コア,13,,
1857,,,,,未満,13,,
1858,,,,,共助,13,,
1859,,,,,関わり,13,,
1860,,,,,道筋,13,,
1861,,,,,高村,13,,
1862,,,,,段階的,13,,
1863,,,,,三原則,13,,
1864,,,,,依頼,13,,
1865,,,,,復興期間,13,,
1866,,,,,混乱,13,,
1867,,,,,通常国会,13,,
1868,,,,,円安,13,,
1869,,,,,資金繰り,13,,
1870,,,,,北京,13,,
1871,,,,,ウクライナ,13,,
1872,,,,,無責任,13,,
1873,,,,,海外展開,13,,
1874,,,,,ダイナミック,13,,
1875,,,,,宮沢,13,,
1876,,,,,料金,13,,
1877,,,,,ライフスタイル,13,,
1878,,,,,金融機関,13,,
1879,,,,,国連決議,13,,
1880,,,,,タイミング,13,,
1881,,,,,根絶,13,,
1882,,,,,我が軍,13,,
1883,,,,,意図,13,,
1884,,,,,全線,13,,
1885,,,,,再配分,13,,
1886,,,,,高校生,13,,
1887,,,,,水産物,13,,
1888,,,,,再発防止,13,,
1889,,,,,予断,13,,
1890,,,,,革命,13,,
1891,,,,,介護離職ゼロ,13,,
1892,,,,,保護主義,13,,
1893,,,,,癒着,13,,
1894,,,,,報復,13,,
1895,,,,,防衛出動,12,,
1896,,,,,トップ,12,,
1897,,,,,腰折れ,12,,
1898,,,,,勢い,12,,
1899,,,,,経過,12,,
1900,,,,,期限,12,,
1901,,,,,保健,12,,
1902,,,,,プロジェクト,12,,
1903,,,,,諸国,12,,
1904,,,,,視察,12,,
1905,,,,,大雪,12,,
1906,,,,,自然災害,12,,
1907,,,,,完了,12,,
1908,,,,,向こう,12,,
1909,,,,,つまびらか,12,,
1910,,,,,平均賃金,12,,
1911,,,,,県民,12,,
1912,,,,,危機管理,12,,
1913,,,,,たび,12,,
1914,,,,,支え,12,,
1915,,,,,テレビ,12,,
1916,,,,,実績,12,,
1917,,,,,失礼,12,,
1918,,,,,湾岸戦争,12,,
1919,,,,,越し,12,,
1920,,,,,本日,12,,
1921,,,,,契機,12,,
1922,,,,,カット,12,,
1923,,,,,覚悟,12,,
1924,,,,,働き,12,,
1925,,,,,原因,12,,
1926,,,,,島民,12,,
1927,,,,,次官,12,,
1928,,,,,公開,12,,
1929,,,,,黒字,12,,
1930,,,,,附帯決議,12,,
1931,,,,,日程,12,,
1932,,,,,グローバル化,12,,
1933,,,,,貧困,12,,
1934,,,,,内部留保,12,,
1935,,,,,過酷,12,,
1936,,,,,勤務,12,,
1937,,,,,倍増,12,,
1938,,,,,通常,12,,
1939,,,,,どこか,12,,
1940,,,,,同盟国,12,,
1941,,,,,艦艇,12,,
1942,,,,,はるか,12,,
1943,,,,,革新,12,,
1944,,,,,団塊の世代,12,,
1945,,,,,設計,12,,
1946,,,,,持続可能性,12,,
1947,,,,,過酷事故,12,,
1948,,,,,世界中,12,,
1949,,,,,インフレ,12,,
1950,,,,,是非,12,,
1951,,,,,疑問,12,,
1952,,,,,新聞,12,,
1953,,,,,防衛費,12,,
1954,,,,,名称,12,,
1955,,,,,男性,12,,
1956,,,,,用意,12,,
1957,,,,,一時,12,,
1958,,,,,正直,12,,
1959,,,,,仲井真,12,,
1960,,,,,公助,12,,
1961,,,,,自助,12,,
1962,,,,,名物,12,,
1963,,,,,人事院勧告,12,,
1964,,,,,宣誓,12,,
1965,,,,,事件,12,,
1966,,,,,設備,12,,
1967,,,,,慣行,12,,
1968,,,,,日本側,12,,
1969,,,,,所得代替率,12,,
1970,,,,,ペース,12,,
1971,,,,,失敗,12,,
1972,,,,,助成金,12,,
1973,,,,,製造業,12,,
1974,,,,,コミットメント,12,,
1975,,,,,観光客,12,,
1976,,,,,中断,12,,
1977,,,,,英国,12,,
1978,,,,,ヘクタール,12,,
1979,,,,,発動,12,,
1980,,,,,流通,12,,
1981,,,,,日中韓,12,,
1982,,,,,離職,12,,
1983,,,,,遜色,12,,
1984,,,,,逐条,12,,
1985,,,,,和解,12,,
1986,,,,,台頭,12,,
1987,,,,,極東,12,,
1988,,,,,生起,12,,
1989,,,,,起点,12,,
1990,,,,,収載,12,,
1991,,,,,奨学金制度,12,,
1992,,,,,キューバ,12,,
1993,,,,,森友学園,12,,
1994,,,,,官庁,12,,
1995,,,,,ペンス,12,,
1996,,,,,国有地,12,,
1997,,,,,ドナルド・トランプ,12,,
1998,,,,,検挙,12,,
1999,,,,,予備,12,,
2000,,,,,選挙制度,11,,
2001,,,,,質疑,11,,
2002,,,,,政治活動,11,,
2003,,,,,足元,11,,
2004,,,,,交渉参加,11,,
2005,,,,,守るべきもの,11,,
2006,,,,,とも,11,,
2007,,,,,取りまとめ,11,,
2008,,,,,先送り,11,,
2009,,,,,国有企業,11,,
2010,,,,,消防,11,,
2011,,,,,避難指示,11,,
2012,,,,,ダボス会議,11,,
2013,,,,,ガバナンス,11,,
2014,,,,,後半,11,,
2015,,,,,提示,11,,
2016,,,,,大震災,11,,
2017,,,,,開会式,11,,
2018,,,,,検査,11,,
2019,,,,,佐藤,11,,
2020,,,,,節目,11,,
2021,,,,,真面目,11,,
2022,,,,,上空,11,,
2023,,,,,補佐,11,,
2024,,,,,大戦,11,,
2025,,,,,保持,11,,
2026,,,,,普天間基地,11,,
2027,,,,,武装,11,,
2028,,,,,勝手,11,,
2029,,,,,憲法違反,11,,
2030,,,,,砂川,11,,
2031,,,,,ミサイル防衛,11,,
2032,,,,,誘導,11,,
2033,,,,,身近,11,,
2034,,,,,予算案,11,,
2035,,,,,プログラム,11,,
2036,,,,,司令塔,11,,
2037,,,,,延長,11,,
2038,,,,,契約,11,,
2039,,,,,育児休業,11,,
2040,,,,,研修,11,,
2041,,,,,享受,11,,
2042,,,,,大都市,11,,
2043,,,,,メンバー,11,,
2044,,,,,所得税,11,,
2045,,,,,コミット,11,,
2046,,,,,公務員制度改革,11,,
2047,,,,,問題点,11,,
2048,,,,,財務省,11,,
2049,,,,,あそこ,11,,
2050,,,,,単位,11,,
2051,,,,,ものづくり,11,,
2052,,,,,上陸,11,,
2053,,,,,新設,11,,
2054,,,,,省エネ,11,,
2055,,,,,修正,11,,
2056,,,,,お話し,11,,
2057,,,,,発議,11,,
2058,,,,,移駐,11,,
2059,,,,,防災対策,11,,
2060,,,,,防音,11,,
2061,,,,,習近平,11,,
2062,,,,,喚起,11,,
2063,,,,,決め,11,,
2064,,,,,シリア,11,,
2065,,,,,教科書,11,,
2066,,,,,多様性,11,,
2067,,,,,六条,11,,
2068,,,,,いかん,11,,
2069,,,,,足下,11,,
2070,,,,,支払,11,,
2071,,,,,理事,11,,
2072,,,,,志向,11,,
2073,,,,,連合,11,,
2074,,,,,同一,11,,
2075,,,,,ステージ,11,,
2076,,,,,教育委員,11,,
2077,,,,,一員,11,,
2078,,,,,特色,11,,
2079,,,,,需給,11,,
2080,,,,,次期,11,,
2081,,,,,ワーキング,11,,
2082,,,,,主役,11,,
2083,,,,,川内原発,11,,
2084,,,,,一言,11,,
2085,,,,,販路開拓,11,,
2086,,,,,移住,11,,
2087,,,,,客観,11,,
2088,,,,,阻害,11,,
2089,,,,,基調,11,,
2090,,,,,予想,11,,
2091,,,,,下支え,11,,
2092,,,,,総括,11,,
2093,,,,,結束,11,,
2094,,,,,打撃,11,,
2095,,,,,領域,11,,
2096,,,,,厳しさ,11,,
2097,,,,,家計,11,,
2098,,,,,法務省,11,,
2099,,,,,鳩山政権,11,,
2100,,,,,増額,11,,
2101,,,,,事業主,11,,
2102,,,,,FTA,11,,
2103,,,,,性質,11,,
2104,,,,,児童扶養手当,11,,
2105,,,,,稼ぎ,11,,
2106,,,,,ジニ係数,11,,
2107,,,,,摘発,11,,
2108,,,,,配偶者,11,,
2109,,,,,ホルムズ,11,,
2110,,,,,解説,11,,
2111,,,,,正当防衛,11,,
2112,,,,,緊急避難,11,,
2113,,,,,成績,11,,
2114,,,,,史上,11,,
2115,,,,,控除,11,,
2116,,,,,トン,11,,
2117,,,,,内需,11,,
2118,,,,,給付型奨学金,11,,
2119,,,,,ニッポン一億総活躍プラン,11,,
2120,,,,,インターバル,11,,
2121,,,,,ミサイル開発,11,,
2122,,,,,離脱,11,,
2123,,,,,トランプ次期大統領,11,,
2124,,,,,ミカン,11,,
2125,,,,,今井,11,,
2126,,,,,労災認定,11,,
2127,,,,,隠蔽,11,,
2128,,,,,一票の格差,10,,
2129,,,,,日本国民,10,,
2130,,,,,歴史家,10,,
2131,,,,,機運,10,,
2132,,,,,聖域なき関税撤廃,10,,
2133,,,,,衆参,10,,
2134,,,,,エネルギー基本計画,10,,
2135,,,,,基本計画,10,,
2136,,,,,安全神話,10,,
2137,,,,,健康づくり,10,,
2138,,,,,日露首脳会談,10,,
2139,,,,,党首討論,10,,
2140,,,,,農山漁村,10,,
2141,,,,,経済活動,10,,
2142,,,,,指揮,10,,
2143,,,,,除雪,10,,
2144,,,,,複数,10,,
2145,,,,,津波,10,,
2146,,,,,原発事故,10,,
2147,,,,,コミュニティー,10,,
2148,,,,,金田,10,,
2149,,,,,事務,10,,
2150,,,,,事業所,10,,
2151,,,,,異次元,10,,
2152,,,,,仕方,10,,
2153,,,,,救助活動,10,,
2154,,,,,年収,10,,
