,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,
1623,,,,,閣議,9,,,,
1624,,,,,官民,9,,,,
1625,,,,,上空,9,,,,
1626,,,,,農山漁村,9,,,,
1627,,,,,責任野党,9,,,,
1628,,,,,地方公共団体,9,,,,
1629,,,,,道徳,9,,,,
1630,,,,,安全保障政策,9,,,,
1631,,,,,予測,9,,,,
1632,,,,,急速,9,,,,
1633,,,,,費用,9,,,,
1634,,,,,観光,9,,,,
1635,,,,,治療,9,,,,
1636,,,,,就労,9,,,,
1637,,,,,厚生年金,9,,,,
1638,,,,,東北,9,,,,
1639,,,,,黒田,9,,,,
1640,,,,,根絶,9,,,,
1641,,,,,国際的,9,,,,
1642,,,,,八月,9,,,,
1643,,,,,援助,9,,,,
1644,,,,,牽引,9,,,,
1645,,,,,診療報酬,9,,,,
1646,,,,,法律案,9,,,,
1647,,,,,法改正,9,,,,
1648,,,,,議員立法,9,,,,
1649,,,,,工程表,9,,,,
1650,,,,,今年度,9,,,,
1651,,,,,幼児教育,9,,,,
1652,,,,,世界一,9,,,,
1653,,,,,学生,9,,,,
1654,,,,,司令塔,9,,,,
1655,,,,,八割,9,,,,
1656,,,,,テレビ,9,,,,
1657,,,,,集団安全保障,9,,,,
1658,,,,,ブランド,9,,,,
1659,,,,,ニュージーランド,9,,,,
1660,,,,,豪州,9,,,,
1661,,,,,感謝,9,,,,
1662,,,,,敷設,9,,,,
1663,,,,,小野寺,9,,,,
1664,,,,,完遂,9,,,,
1665,,,,,容認,9,,,,
1666,,,,,合致,9,,,,
1667,,,,,強制,9,,,,
1668,,,,,切れ目のない対応,9,,,,
1669,,,,,推移,9,,,,
1670,,,,,合理,9,,,,
1671,,,,,大塚,9,,,,
1672,,,,,質疑,9,,,,
1673,,,,,事実関係,9,,,,
1674,,,,,ベトナム,9,,,,
1675,,,,,小池,9,,,,
1676,,,,,出来事,9,,,,
1677,,,,,一般論,9,,,,
1678,,,,,遺棄,9,,,,
1679,,,,,深刻化,9,,,,
1680,,,,,予算委員会,9,,,,
1681,,,,,地域再生,9,,,,
1682,,,,,発意,9,,,,
1683,,,,,局面,9,,,,
1684,,,,,待遇,9,,,,
1685,,,,,通常国会,9,,,,
1686,,,,,一月,9,,,,
1687,,,,,資産効果,9,,,,
1688,,,,,実質賃金,9,,,,
1689,,,,,製造,9,,,,
1690,,,,,火山,9,,,,
1691,,,,,JT,9,,,,
1692,,,,,トン,9,,,,
1693,,,,,着目,9,,,,
1694,,,,,成り立ち,9,,,,
1695,,,,,文部科学省,9,,,,
1696,,,,,文科,9,,,,
1697,,,,,ヨルダン,9,,,,
1698,,,,,世論調査,9,,,,
1699,,,,,太平洋,9,,,,
1700,,,,,日程,9,,,,
1701,,,,,テロ組織,9,,,,
1702,,,,,WTO,9,,,,
1703,,,,,巨大,9,,,,
1704,,,,,牛肉,9,,,,
1705,,,,,精査,9,,,,
1706,,,,,無償,9,,,,
1707,,,,,文脈,9,,,,
1708,,,,,大統領選挙,9,,,,
1709,,,,,オバマ政権,9,,,,
1710,,,,,推計,9,,,,
1711,,,,,局長,9,,,,
1712,,,,,予備,9,,,,
1713,,,,,内心,9,,,,
1714,,,,,出身,9,,,,
1715,,,,,復帰,8,,,,
1716,,,,,育児,8,,,,
1717,,,,,競技大会,8,,,,
1718,,,,,インフラ輸出,8,,,,
1719,,,,,イギリス,8,,,,
1720,,,,,この道,8,,,,
1721,,,,,諮問,8,,,,
1722,,,,,増収,8,,,,
1723,,,,,念頭,8,,,,
1724,,,,,情報機関,8,,,,
1725,,,,,情報保全監察室,8,,,,
1726,,,,,石井,8,,,,
1727,,,,,十二分,8,,,,
1728,,,,,合意内容,8,,,,
1729,,,,,優先,8,,,,
1730,,,,,目途,8,,,,
1731,,,,,チャレンジ,8,,,,
1732,,,,,職場,8,,,,
1733,,,,,記録,8,,,,
1734,,,,,該当,8,,,,
1735,,,,,外務省,8,,,,
1736,,,,,真剣,8,,,,
1737,,,,,再々,8,,,,
1738,,,,,惨禍,8,,,,
1739,,,,,不戦,8,,,,
1740,,,,,記者会見,8,,,,
1741,,,,,山口,8,,,,
1742,,,,,ワーク・ライフ・バランス,8,,,,
1743,,,,,汚染水,8,,,,
1744,,,,,次元,8,,,,
1745,,,,,確定,8,,,,
1746,,,,,スポーツ,8,,,,
1747,,,,,条項,8,,,,
1748,,,,,登用,8,,,,
1749,,,,,就業,8,,,,
1750,,,,,か月,8,,,,
1751,,,,,構造改革,8,,,,
1752,,,,,配置,8,,,,
1753,,,,,遂行,8,,,,
1754,,,,,平和的,8,,,,
1755,,,,,信認,8,,,,
1756,,,,,窓口,8,,,,
1757,,,,,自公政権,8,,,,
1758,,,,,PA,8,,,,
1759,,,,,得手,8,,,,
1760,,,,,中立,8,,,,
1761,,,,,見地,8,,,,
1762,,,,,幹部,8,,,,
1763,,,,,回避,8,,,,
1764,,,,,延べ,8,,,,
1765,,,,,日本企業,8,,,,
1766,,,,,本件,8,,,,
1767,,,,,農産品,8,,,,
1768,,,,,縮小,8,,,,
1769,,,,,与野党,8,,,,
1770,,,,,記載,8,,,,
1771,,,,,作物,8,,,,
1772,,,,,食料自給率,8,,,,
1773,,,,,誠実,8,,,,
1774,,,,,信念,8,,,,
1775,,,,,教員,8,,,,
1776,,,,,低迷,8,,,,
1777,,,,,強固,8,,,,
1778,,,,,成長率,8,,,,
1779,,,,,要因,8,,,,
1780,,,,,地域経済,8,,,,
1781,,,,,受け皿,8,,,,
1782,,,,,従事,8,,,,
1783,,,,,人的,8,,,,
1784,,,,,水産物,8,,,,
1785,,,,,情熱,8,,,,
1786,,,,,航行,8,,,,
1787,,,,,ミサイル防衛,8,,,,
1788,,,,,常識,8,,,,
1789,,,,,医療機関,8,,,,
1790,,,,,実態調査,8,,,,
1791,,,,,疑念,8,,,,
1792,,,,,小学校,8,,,,
1793,,,,,お見舞い,8,,,,
1794,,,,,従業員,8,,,,
1795,,,,,年寄り,8,,,,
1796,,,,,水道,8,,,,
1797,,,,,インドネシア,8,,,,
1798,,,,,出生率,8,,,,
1799,,,,,二次,8,,,,
1800,,,,,包括,8,,,,
1801,,,,,病院,8,,,,
1802,,,,,変動,8,,,,
1803,,,,,実力行使,8,,,,
1804,,,,,関係機関,8,,,,
1805,,,,,ハードル,8,,,,
1806,,,,,緊急時,8,,,,
1807,,,,,武力紛争,8,,,,
1808,,,,,根拠,8,,,,
1809,,,,,非戦闘地域,8,,,,
1810,,,,,仮定,8,,,,
1811,,,,,物資,8,,,,
1812,,,,,御存じ,8,,,,
1813,,,,,メカニズム,8,,,,
1814,,,,,本社,8,,,,
1815,,,,,当たり,8,,,,
1816,,,,,医療保険,8,,,,
1817,,,,,疾病,8,,,,
1818,,,,,喚起,8,,,,
1819,,,,,円安,8,,,,
1820,,,,,五十,8,,,,
1821,,,,,伺い,8,,,,
1822,,,,,象徴,8,,,,
1823,,,,,訪朝,8,,,,
1824,,,,,断定,8,,,,
1825,,,,,導管,8,,,,
1826,,,,,無利子,8,,,,
1827,,,,,自動車産業,8,,,,
1828,,,,,メーカー,8,,,,
1829,,,,,ホームページ,8,,,,
1830,,,,,主義,8,,,,
1831,,,,,画期的,8,,,,
1832,,,,,統制,8,,,,
1833,,,,,国際秩序,8,,,,
1834,,,,,四島,8,,,,
1835,,,,,李克強,8,,,,
1836,,,,,加盟,8,,,,
1837,,,,,副大臣,8,,,,
1838,,,,,通商交渉,8,,,,
1839,,,,,ページ,8,,,,
1840,,,,,テーブル,8,,,,
1841,,,,,生産量,8,,,,
1842,,,,,和牛,8,,,,
1843,,,,,説明会,8,,,,
1844,,,,,自由民主主義,8,,,,
1845,,,,,つまびらか,8,,,,
1846,,,,,政権移行,8,,,,
1847,,,,,柚木,8,,,,
1848,,,,,サプライチェーン,8,,,,
1849,,,,,安倍晋三,8,,,,
1850,,,,,敗訴,8,,,,
1851,,,,,テロリズム,8,,,,
1852,,,,,継承,8,,,,
1853,,,,,司法,8,,,,
1854,,,,,国有財産,8,,,,
1855,,,,,革命,8,,,,
1856,,,,,塩崎,8,,,,
1857,,,,,研究者,7,,,,
1858,,,,,生き方,7,,,,
1859,,,,,資格,7,,,,
1860,,,,,四十,7,,,,
1861,,,,,アクセス,7,,,,
1862,,,,,出張,7,,,,
1863,,,,,特区,7,,,,
1864,,,,,ベース,7,,,,
1865,,,,,グローバル,7,,,,
1866,,,,,NSC,7,,,,
1867,,,,,カテゴリー,7,,,,
1868,,,,,国会運営,7,,,,
1869,,,,,海兵隊,7,,,,
1870,,,,,良好,7,,,,
1871,,,,,県外,7,,,,
1872,,,,,広報,7,,,,
1873,,,,,受益,7,,,,
1874,,,,,ベースアップ,7,,,,
1875,,,,,調達,7,,,,
1876,,,,,ものづくり,7,,,,
1877,,,,,商業,7,,,,
1878,,,,,不十分,7,,,,
1879,,,,,家計,7,,,,
1880,,,,,果実,7,,,,
1881,,,,,積立,7,,,,
1882,,,,,レッテル張り,7,,,,
1883,,,,,茂木,7,,,,
1884,,,,,ベスト,7,,,,
1885,,,,,有事,7,,,,
1886,,,,,政令,7,,,,
1887,,,,,衛星写真,7,,,,
1888,,,,,歴史認識,7,,,,
1889,,,,,多大,7,,,,
1890,,,,,損害,7,,,,
1891,,,,,赦免,7,,,,
1892,,,,,政治の責任,7,,,,
1893,,,,,総選挙,7,,,,
1894,,,,,国家百年の計,7,,,,
1895,,,,,民意,7,,,,
1896,,,,,知恵,7,,,,
1897,,,,,知財,7,,,,
1898,,,,,不安定,7,,,,
1899,,,,,経営委員,7,,,,
1900,,,,,働き,7,,,,
1901,,,,,岩手,7,,,,
1902,,,,,津波,7,,,,
1903,,,,,優先順位,7,,,,
1904,,,,,国連憲章,7,,,,
1905,,,,,核廃絶,7,,,,
1906,,,,,悲惨,7,,,,
1907,,,,,所在,7,,,,
1908,,,,,途上国,7,,,,
1909,,,,,攻め,7,,,,
1910,,,,,地域資源,7,,,,
1911,,,,,波及,7,,,,
1912,,,,,所存,7,,,,
1913,,,,,若者たち,7,,,,
1914,,,,,東京都,7,,,,
1915,,,,,東電,7,,,,
1916,,,,,権益,7,,,,
1917,,,,,好転,7,,,,
1918,,,,,監督,7,,,,
1919,,,,,避難指示,7,,,,
1920,,,,,防衛大綱,7,,,,
1921,,,,,朴槿恵,7,,,,
1922,,,,,握手,7,,,,
1923,,,,,トップ,7,,,,
1924,,,,,支援策,7,,,,
1925,,,,,交付,7,,,,
1926,,,,,死活,7,,,,
1927,,,,,トルコ,7,,,,
1928,,,,,フロンティア,7,,,,
1929,,,,,品質,7,,,,
1930,,,,,二国間関係,7,,,,
1931,,,,,撤回,7,,,,
1932,,,,,老朽化,7,,,,
1933,,,,,観光立国,7,,,,
1934,,,,,食料自給力,7,,,,
1935,,,,,日本維新の会,7,,,,
1936,,,,,生活支援,7,,,,
1937,,,,,公費,7,,,,
1938,,,,,養成,7,,,,
1939,,,,,国政,7,,,,
1940,,,,,ショック,7,,,,
1941,,,,,参画,7,,,,
1942,,,,,きめ細か,7,,,,
1943,,,,,受給,7,,,,
1944,,,,,一環,7,,,,
1945,,,,,話し合い,7,,,,
1946,,,,,日本型,7,,,,
1947,,,,,地方経済,7,,,,
1948,,,,,資産,7,,,,
1949,,,,,立案,7,,,,
1950,,,,,無駄,7,,,,
1951,,,,,分離,7,,,,
1952,,,,,安定的,7,,,,
1953,,,,,製造業,7,,,,
1954,,,,,疑い,7,,,,
1955,,,,,やり方,7,,,,
1956,,,,,科学的根拠,7,,,,
1957,,,,,保持,7,,,,
1958,,,,,主催,7,,,,
1959,,,,,被用者,7,,,,
1960,,,,,金額,7,,,,
1961,,,,,過酷,7,,,,
1962,,,,,尖閣諸島,7,,,,
1963,,,,,警備,7,,,,
1964,,,,,最新,7,,,,
1965,,,,,四半期,7,,,,
1966,,,,,今月,7,,,,
1967,,,,,未来へ,7,,,,
1968,,,,,強み,7,,,,
1969,,,,,がち,7,,,,
1970,,,,,離島,7,,,,
1971,,,,,前年比,7,,,,
1972,,,,,フランス,7,,,,
1973,,,,,来日,7,,,,
1974,,,,,台風,7,,,,
1975,,,,,隊員,7,,,,
1976,,,,,市民,7,,,,
1977,,,,,引き渡し,7,,,,
1978,,,,,誰か,7,,,,
1979,,,,,不法行為,7,,,,
1980,,,,,発令,7,,,,
1981,,,,,膨大,7,,,,
1982,,,,,諸君,7,,,,
1983,,,,,日本国民,7,,,,
1984,,,,,高村,7,,,,
1985,,,,,山口県,7,,,,
1986,,,,,切迫,7,,,,
1987,,,,,駄目,7,,,,
1988,,,,,日々,7,,,,
1989,,,,,イラク戦争,7,,,,
1990,,,,,最小限,7,,,,
1991,,,,,単純,7,,,,
1992,,,,,最近,7,,,,
1993,,,,,軍事,7,,,,
1994,,,,,防衛出動,7,,,,
1995,,,,,補給,7,,,,
1996,,,,,統一,7,,,,
1997,,,,,印象,7,,,,
1998,,,,,しない,7,,,,
1999,,,,,根本,7,,,,
2000,,,,,徴兵制,7,,,,
2001,,,,,代理,7,,,,
2002,,,,,法理,7,,,,
2003,,,,,適用対象,7,,,,
2004,,,,,キロメートル,7,,,,
2005,,,,,海上,7,,,,
2006,,,,,当選,7,,,,
2007,,,,,有識者会議,7,,,,
2008,,,,,所管,7,,,,
2009,,,,,仲井眞,7,,,,
2010,,,,,病気,7,,,,
2011,,,,,法務大臣,7,,,,
2012,,,,,台湾,7,,,,
2013,,,,,ワーキンググループ,7,,,,
2014,,,,,たばこ,7,,,,
2015,,,,,買い取り,7,,,,
2016,,,,,PB,7,,,,
2017,,,,,電源,7,,,,
2018,,,,,情報開示,7,,,,
2019,,,,,法律上,7,,,,
2020,,,,,複数,7,,,,
2021,,,,,特徴,7,,,,
2022,,,,,対象者,7,,,,
2023,,,,,指揮,7,,,,
2024,,,,,助言,7,,,,
2025,,,,,先進,7,,,,
2026,,,,,生活保護,7,,,,
2027,,,,,過労死,7,,,,
2028,,,,,過激,7,,,,
2029,,,,,人質,7,,,,
2030,,,,,点検,7,,,,
2031,,,,,物品,7,,,,
2032,,,,,正式,7,,,,
2033,,,,,秩序,7,,,,
2034,,,,,投入,7,,,,
2035,,,,,尽力,7,,,,
2036,,,,,副長官,7,,,,
2037,,,,,搭載,7,,,,
2038,,,,,電子商取引,7,,,,
2039,,,,,経済効果,7,,,,
2040,,,,,石原伸晃,7,,,,
2041,,,,,高等教育,7,,,,
2042,,,,,国家主席,7,,,,
2043,,,,,陣営,7,,,,
2044,,,,,統計,7,,,,
2045,,,,,購買力,7,,,,
2046,,,,,オーストラリア,7,,,,
2047,,,,,お断り,7,,,,
2048,,,,,立証,7,,,,
2049,,,,,厚労省,7,,,,
2050,,,,,英国,7,,,,
2051,,,,,所得再分配,7,,,,
2052,,,,,予約,7,,,,
2053,,,,,検挙,7,,,,
2054,,,,,した,7,,,,
2055,,,,,まちづくり,7,,,,
2056,,,,,世界各地,7,,,,
2057,,,,,人道的,7,,,,
2058,,,,,ファクス,7,,,,
2059,,,,,少子化対策,7,,,,
2060,,,,,ある意味,6,,,,
2061,,,,,講演,6,,,,
2062,,,,,マクロ,6,,,,
2063,,,,,誕生,6,,,,
2064,,,,,選定,6,,,,
2065,,,,,価値観,6,,,,
2066,,,,,キャリア,6,,,,
2067,,,,,選挙制度,6,,,,
2068,,,,,バイ,6,,,,
2069,,,,,原点,6,,,,
2070,,,,,番目,6,,,,
2071,,,,,展望,6,,,,
2072,,,,,持続的,6,,,,
2073,,,,,産業構造,6,,,,
2074,,,,,アプローチ,6,,,,
2075,,,,,ダイナミック,6,,,,
2076,,,,,プロジェクト,6,,,,
2077,,,,,国際テロ,6,,,,
2078,,,,,三度,6,,,,
2079,,,,,醸成,6,,,,
2080,,,,,総務省,6,,,,
2081,,,,,労働市場,6,,,,
2082,,,,,勧告,6,,,,
2083,,,,,厳正,6,,,,
2084,,,,,補助金,6,,,,
2085,,,,,何度でも,6,,,,
2086,,,,,一昨年,6,,,,
2087,,,,,見事,6,,,,
2088,,,,,直近,6,,,,
2089,,,,,物事,6,,,,
2090,,,,,進学,6,,,,
2091,,,,,配備,6,,,,
2092,,,,,機密,6,,,,
2093,,,,,テロリスト,6,,,,
2094,,,,,侵略,6,,,,
2095,,,,,遺憾,6,,,,
2096,,,,,胸襟,6,,,,
2097,,,,,内外,6,,,,
2098,,,,,土俵,6,,,,
2099,,,,,最高裁,6,,,,
2100,,,,,現実的,6,,,,
2101,,,,,給料,6,,,,
2102,,,,,連合,6,,,,
2103,,,,,野郎,6,,,,
2104,,,,,長い間,6,,,,
2105,,,,,センター,6,,,,
2106,,,,,ただ,6,,,,
2107,,,,,政府調達,6,,,,
2108,,,,,代替,6,,,,
2109,,,,,BEST MIX!,6,,,,
2110,,,,,労働者派遣,6,,,,
2111,,,,,高台移転,6,,,,
2112,,,,,災害公営住宅,6,,,,
2113,,,,,れき,6,,,,
2114,,,,,宮城,6,,,,
2115,,,,,技術的,6,,,,
2116,,,,,直後,6,,,,
2117,,,,,明確化,6,,,,
2118,,,,,第三国,6,,,,
2119,,,,,被爆,6,,,,
2120,,,,,普遍,6,,,,
2121,,,,,実効性,6,,,,
2122,,,,,教育行政,6,,,,
2123,,,,,連立政権,6,,,,
2124,,,,,大事,6,,,,
2125,,,,,プロセス,6,,,,
2126,,,,,詰め,6,,,,
2127,,,,,学力,6,,,,
2128,,,,,存分,6,,,,
2129,,,,,償却,6,,,,
2130,,,,,公共事業,6,,,,
2131,,,,,計上,6,,,,
2132,,,,,歳入庁,6,,,,
2133,,,,,問題点,6,,,,
2134,,,,,公務員制度改革,6,,,,
2135,,,,,臨時国会,6,,,,
2136,,,,,有無,6,,,,
2137,,,,,解雇,6,,,,
2138,,,,,安全基準,6,,,,
2139,,,,,脱退,6,,,,
2140,,,,,活性,6,,,,
2141,,,,,総額,6,,,,
2142,,,,,主権,6,,,,
2143,,,,,断固,6,,,,
2144,,,,,日本外交,6,,,,
2145,,,,,防空識別区,6,,,,
2146,,,,,交付金,6,,,,
2147,,,,,登録,6,,,,
2148,,,,,協議会,6,,,,
2149,,,,,喫緊,6,,,,
2150,,,,,教育費,6,,,,
2151,,,,,教科書,6,,,,
2152,,,,,戦前,6,,,,
2153,,,,,規制緩和,6,,,,
2154,,,,,一緒,6,,,,
2155,,,,,アップ,6,,,,
2156,,,,,その他,6,,,,
2157,,,,,区分,6,,,,
2158,,,,,がん,6,,,,
2159,,,,,支給,6,,,,
2160,,,,,国際協力,6,,,,
2161,,,,,両者,6,,,,
2162,,,,,方策,6,,,,
2163,,,,,いかん,6,,,,
2164,,,,,大改革,6,,,,
2165,,,,,副議長,6,,,,
2166,,,,,特別会計,6,,,,
2167,,,,,全面自由化,6,,,,
2168,,,,,一連,6,,,,
2169,,,,,サイバー空間,6,,,,
2170,,,,,警戒,6,,,,
2171,,,,,緩やか,6,,,,
2172,,,,,中止,6,,,,
2173,,,,,高レベル放射性廃棄物,6,,,,
2174,,,,,武装,6,,,,
2175,,,,,日米安保条約,6,,,,
2176,,,,,助成金,6,,,,
2177,,,,,在宅,6,,,,
2178,,,,,簡素な給付措置,6,,,,
2179,,,,,短時間,6,,,,
2180,,,,,中枢,6,,,,
2181,,,,,黒字,6,,,,
2182,,,,,自主的,6,,,,
2183,,,,,データ,6,,,,
2184,,,,,特殊法人,6,,,,
2185,,,,,OB,6,,,,
2186,,,,,アイデア,6,,,,
2187,,,,,厳しさ,6,,,,
2188,,,,,防衛施設,6,,,,
2189,,,,,舞台,6,,,,
2190,,,,,食事,6,,,,
2191,,,,,豊富,6,,,,
2192,,,,,開拓,6,,,,
2193,,,,,温暖化対策,6,,,,
2194,,,,,機構,6,,,,
2195,,,,,海外市場,6,,,,
2196,,,,,コンテンツ,6,,,,
2197,,,,,物流,6,,,,
2198,,,,,福祉,6,,,,
2199,,,,,外国人観光客,6,,,,
2200,,,,,北海道,6,,,,
2201,,,,,タイ,6,,,,
2202,,,,,減災,6,,,,
2203,,,,,一緒に,6,,,,
2204,,,,,四度,6,,,,
2205,,,,,科学技術,6,,,,
2206,,,,,パートナーシップ,6,,,,
2207,,,,,拉致,6,,,,
2208,,,,,中期防,6,,,,
2209,,,,,次期,6,,,,
2210,,,,,佐藤,6,,,,
2211,,,,,治安出動,6,,,,
2212,,,,,海上警備行動,6,,,,
2213,,,,,重み,6,,,,
2214,,,,,北側,6,,,,
2215,,,,,警察機関,6,,,,
2216,,,,,行政権,6,,,,
2217,,,,,答え,6,,,,
2218,,,,,湾岸戦争,6,,,,
2219,,,,,差別,6,,,,
2220,,,,,移動,6,,,,
2221,,,,,朝鮮半島,6,,,,
2222,,,,,パワーバランス,6,,,,
2223,,,,,NGO,6,,,,
2224,,,,,駆け付け警護,6,,,,
2225,,,,,其の様,6,,,,
2226,,,,,軍隊,6,,,,
2227,,,,,失礼,6,,,,
2228,,,,,友好,6,,,,
2229,,,,,軍事力,6,,,,
2230,,,,,関連法案,6,,,,
2231,,,,,駐留,6,,,,
2232,,,,,大分,6,,,,
2233,,,,,相互,6,,,,
2234,,,,,ネットワーク,6,,,,
2235,,,,,ライフライン,6,,,,
2236,,,,,インターバル,6,,,,
2237,,,,,雇用者,6,,,,
2238,,,,,前後,6,,,,
2239,,,,,過半数,6,,,,
2240,,,,,防災対策,6,,,,
2241,,,,,行方不明,6,,,,
2242,,,,,小泉総理,6,,,,
2243,,,,,北朝鮮側,6,,,,
2244,,,,,形式,6,,,,
2245,,,,,一概,6,,,,
2246,,,,,啓発,6,,,,
2247,,,,,証拠,6,,,,
2248,,,,,小川,6,,,,
2249,,,,,記事,6,,,,
2250,,,,,安倍さん,6,,,,
2251,,,,,温室効果ガス,6,,,,
2252,,,,,満足,6,,,,
2253,,,,,部門,6,,,,
2254,,,,,販売,6,,,,
2255,,,,,商品券,6,,,,
2256,,,,,鳥取県,6,,,,
2257,,,,,記憶,6,,,,
2258,,,,,支え,6,,,,
2259,,,,,収載,6,,,,
2260,,,,,加盟国,6,,,,
2261,,,,,堀内,6,,,,
2262,,,,,件数,6,,,,
2263,,,,,日本国内,6,,,,
2264,,,,,製品,6,,,,
2265,,,,,イスラム,6,,,,
2266,,,,,水素,6,,,,
2267,,,,,第三次,6,,,,
2268,,,,,談話,6,,,,
2269,,,,,想像,6,,,,
2270,,,,,漁業者,6,,,,
2271,,,,,発出,6,,,,
2272,,,,,本会議,6,,,,
2273,,,,,停戦,6,,,,
2274,,,,,集会,6,,,,
2275,,,,,このまま,6,,,,
2276,,,,,経済連携,6,,,,
2277,,,,,成就,6,,,,
2278,,,,,石原,6,,,,
2279,,,,,歳費,6,,,,
2280,,,,,ジェトロ,6,,,,
2281,,,,,起訴,6,,,,
2282,,,,,不当,6,,,,
2283,,,,,求心力,6,,,,
2284,,,,,スティグリッツ,6,,,,
2285,,,,,就農,6,,,,
2286,,,,,伊勢志摩サミット,6,,,,
2287,,,,,進出,6,,,,
2288,,,,,概要,6,,,,
2289,,,,,多国籍企業,6,,,,
2290,,,,,動揺,6,,,,
2291,,,,,勘定,6,,,,
2292,,,,,保育士,6,,,,
2293,,,,,ジュバ,6,,,,
2294,,,,,副大統領,6,,,,
2295,,,,,米国大統領,6,,,,
2296,,,,,非公式,6,,,,
2297,,,,,台頭,6,,,,
2298,,,,,ホスト,6,,,,
2299,,,,,ガバナンス,6,,,,
2300,,,,,計算,6,,,,
2301,,,,,横ばい,6,,,,
2302,,,,,一言,6,,,,
2303,,,,,トヨタ,6,,,,
2304,,,,,申告,6,,,,
2305,,,,,法務省,6,,,,
2306,,,,,小泉政権,6,,,,
2307,,,,,宮本,6,,,,
2308,,,,,天皇陛下,6,,,,
2309,,,,,任期,6,,,,
2310,,,,,男性,6,,,,
2311,,,,,不利,5,,,,
2312,,,,,道路,5,,,,
2313,,,,,トップセールス,5,,,,
2314,,,,,乖離,5,,,,
2315,,,,,巨額,5,,,,
2316,,,,,累積,5,,,,
2317,,,,,聖域,5,,,,
2318,,,,,外交政策,5,,,,
2319,,,,,国家安全保障会議,5,,,,
2320,,,,,対外,5,,,,
2321,,,,,もっともっと,5,,,,
2322,,,,,内閣総理大臣,5,,,,
2323,,,,,衛星,5,,,,
2324,,,,,武器輸出三原則,5,,,,
2325,,,,,安保法制懇,5,,,,
2326,,,,,仲井真,5,,,,
2327,,,,,航空,5,,,,
2328,,,,,滑走路,5,,,,
2329,,,,,所要,5,,,,
2330,,,,,日米地位協定,5,,,,
2331,,,,,取り締まり,5,,,,
2332,,,,,個人消費,5,,,,
2333,,,,,地域包括ケアシステム,5,,,,
2334,,,,,前向き,5,,,,
2335,,,,,この間,5,,,,
2336,,,,,長妻,5,,,,
2337,,,,,史上,5,,,,
2338,,,,,事後,5,,,,
2339,,,,,事務方,5,,,,
2340,,,,,工作員,5,,,,
2341,,,,,補佐,5,,,,
2342,,,,,スタッフ,5,,,,
2343,,,,,アジア諸国,5,,,,
2344,,,,,苦痛,5,,,,
2345,,,,,尊崇の念,5,,,,
2346,,,,,指導者,5,,,,
2347,,,,,減刑,5,,,,
2348,,,,,真意,5,,,,
2349,,,,,実践,5,,,,
2350,,,,,順調,5,,,,
2351,,,,,支払い,5,,,,
2352,,,,,施政方針演説,5,,,,
2353,,,,,低廉,5,,,,
2354,,,,,全員,5,,,,
2355,,,,,多岐,5,,,,
2356,,,,,風評被害,5,,,,
2357,,,,,基本法,5,,,,
2358,,,,,計画的,5,,,,
2359,,,,,経済協力,5,,,,
2360,,,,,広島,5,,,,
2361,,,,,有益,5,,,,
2362,,,,,教育再生実行会議,5,,,,
2363,,,,,直視,5,,,,
2364,,,,,祭典,5,,,,
2365,,,,,各地,5,,,,
2366,,,,,まりや,5,,,,
2367,,,,,加算,5,,,,
2368,,,,,日本再興戦略,5,,,,
2369,,,,,議決,5,,,,
2370,,,,,統合,5,,,,
2371,,,,,種々,5,,,,
2372,,,,,競技,5,,,,
2373,,,,,精通,5,,,,
2374,,,,,原発事故,5,,,,
2375,,,,,原子力政策,5,,,,
2376,,,,,石油ショック,5,,,,
2377,,,,,選任,5,,,,
2378,,,,,放送,5,,,,
2379,,,,,韓国政府,5,,,,
2380,,,,,近隣,5,,,,
2381,,,,,防護,5,,,,
2382,,,,,復興庁,5,,,,
2383,,,,,復活,5,,,,
2384,,,,,公海,5,,,,
2385,,,,,誠意,5,,,,
2386,,,,,衆参,5,,,,
2387,,,,,簡素,5,,,,
2388,,,,,使い勝手,5,,,,
2389,,,,,飛躍,5,,,,
2390,,,,,業界,5,,,,
2391,,,,,大型,5,,,,
2392,,,,,田中,5,,,,
2393,,,,,申入れ,5,,,,
2394,,,,,面会,5,,,,
2395,,,,,農政改革,5,,,,
2396,,,,,対立,5,,,,
2397,,,,,やる気,5,,,,
2398,,,,,付け,5,,,,
2399,,,,,お気持ち,5,,,,
2400,,,,,人間の安全保障,5,,,,
2401,,,,,継続的,5,,,,
2402,,,,,教育基本法,5,,,,
2403,,,,,曖昧,5,,,,
2404,,,,,公教育,5,,,,
2405,,,,,成熟,5,,,,
2406,,,,,招待,5,,,,
2407,,,,,地域社会,5,,,,
2408,,,,,石油,5,,,,
2409,,,,,需給,5,,,,
2410,,,,,部局,5,,,,
2411,,,,,日本のために,5,,,,
2412,,,,,特定疾患,5,,,,
2413,,,,,時間労働,5,,,,
2414,,,,,本部長,5,,,,
2415,,,,,嘉手納,5,,,,
2416,,,,,情報公開,5,,,,
2417,,,,,共同声明,5,,,,
2418,,,,,つき,5,,,,
2419,,,,,所得税,5,,,,
2420,,,,,独立行政法人,5,,,,
2421,,,,,農地集積バンク,5,,,,
2422,,,,,農業経営,5,,,,
2423,,,,,位置づけ,5,,,,
2424,,,,,実力,5,,,,
2425,,,,,先送り,5,,,,
2426,,,,,平和主義,5,,,,
