,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt
97,根強い,2,書く,89,全力,255,,,,数少ない,1,支える,74,大変,206,,,,後ろめたい,1,講じる,66,大切,198,,,,意義深い,2,書く,80,農業,232,,,,寒い,2,繰り返す,92,さん,249,,,,易しい,1,加える,58,女性,167,,
98,こわい,2,資する,89,調査,254,,,,狭い,1,尽くす,74,影響,203,,,,危ない,1,生じる,66,以上,198,,,,ばかばかしい,1,しれる,80,改善,230,,,,おとなしい,2,尽くす,90,派遣,246,,,,あつい,1,作る,57,適切,166,,
99,甘い,2,頑張る,89,目標,252,,,,寒い,1,定める,74,多く,202,,,,おめでたい,1,しれる,65,基本,196,,,,数少ない,1,定める,79,立場,229,,,,そぐわない,2,わかる,90,発生,244,,,,数少ない,1,伴う,57,年間,165,,
100,おどろおどろしい,2,生じる,88,措置,250,,,,つつましい,1,比べる,73,介護,199,,,,末永い,1,生かす,65,皆様,195,,,,申し訳ない,1,覆す,76,ここ,221,,,,つまらない,2,やめる,85,いずれ,243,,,,素早い,1,答える,56,目標,165,,
101,緩い,2,通じる,87,それぞれ,250,,,,冷たい,1,生じる,71,全て,199,,,,欲しい,1,頑張る,64,十分,194,,,,狭い,1,当てはまる,76,安定,221,,,,しつこい,2,置く,84,影響,239,,,,興味深い,1,期す,56,多く,165,,
102,好ましい,2,増える,86,多く,249,,,,たやすい,1,盛り込む,70,社会,198,,,,ひとしい,1,許す,64,大変,193,,,,悲しい,1,合わせる,75,段階,219,,,,素晴らしい,1,頑張る,83,安全,238,,,,親しい,1,上回る,55,デフレ,164,,
103,まずい,2,取る,85,さん,246,,,,かゆい,1,減る,69,活用,198,,,,久しい,1,取る,64,さん,192,,,,等しい,1,入れる,74,全体,217,,,,感慨深い,1,高める,83,連携,233,,,,軽々しい,1,頑張る,55,投資,163,,
104,なるい,1,高める,83,北朝鮮,242,,,,重たい,1,取りまとめる,68,可能,197,,,,寒い,1,比べる,63,整備,192,,,,険しい,1,使う,72,十分,214,,,,薄い,1,脅かす,82,平成,231,,,,うい,1,減る,54,お答え,157,,
105,赤い,1,深める,82,復興,240,,,,鋭い,1,掲げる,68,連携,193,,,,つつましい,1,掲げる,62,様々,190,,,,からい,1,作る,71,以上,212,,,,ばかばかしい,1,開く,82,基本的,229,,,,そぐわない,1,経る,54,影響,155,,
106,ゆゆしい,1,置く,79,連携,235,,,,鈍い,1,伴う,68,そこ,193,,,,浅い,1,繰り返す,61,北朝鮮,189,,,,物すごい,1,高める,70,大切,210,,,,数少ない,1,のっとる,79,確か,228,,,,軟らかい,1,わかる,53,さまざま,155,,
107,鈍い,1,来る,78,影響,233,,,,貧しい,1,上回る,67,意味,192,,,,きつい,1,深める,61,意味,184,,,,下らない,1,通じる,69,昨年,210,,,,数多い,1,生じる,79,賃金,228,,,,幼い,1,来る,52,導入,154,,
108,きつい,1,期す,77,消費税,232,,,,うとい,1,深める,66,平和,192,,,,懐かしい,1,支える,59,ふう,181,,,,根強い,1,講じる,69,攻撃,210,,,,ゆゆしい,1,当てはまる,78,安全保障,228,,,,緩い,1,のっとる,51,国際社会,153,,
109,誇らしい,1,生まれる,77,以上,231,,,,目覚ましい,1,通じる,66,認識,192,,,,恥ずかしい,1,至る,58,安全保障,180,,,,浅い,1,分かる,69,ルール,210,,,,痛い,1,満たす,76,整備,227,,,,濃い,1,くださる,51,大変,153,,
110,はかばかしい,1,伺う,76,国際社会,229,,,,っぽい,1,生まれる,65,賃金,191,,,,親しい,1,担う,58,集団的自衛権,179,,,,暖かい,1,始める,68,社会,207,,,,誇らしい,1,努める,76,法案,226,,,,はかばかしい,1,伺う,51,法案,153,,
111,白い,1,入れる,74,交渉,227,,,,軟らかい,1,作る,65,十分,191,,,,むなしい,1,来る,57,負担,179,,,,暑い,1,のっとる,67,さまざま,204,,,,怪しい,1,合わせる,75,それぞれ,225,,,,悲しい,1,比べる,51,さん,151,,
112,悲しい,1,許す,74,岩場,226,,,,またとない,1,来る,65,ここ,190,,,,しぶとい,1,資する,56,復興,178,,,,苦しい,1,ふえる,67,北朝鮮,204,,,,底堅い,1,比べる,75,昨年,224,,,,太い,1,使う,50,充実,151,,
113,険しい,1,くださる,72,協力,225,,,,根強い,1,挙げる,64,確か,184,,,,ばからしい,1,差し控える,56,基本的,178,,,,しげい,1,経る,66,予算,204,,,,はかばかしい,1,覆す,72,可能,224,,,,はかない,1,続く,50,推進,149,,
114,からい,1,限る,72,見直し,224,,,,そぐわない,1,資する,64,全体,184,,,,易しい,1,伴う,54,もと,178,,,,言い難い,1,許す,65,成長,202,,,,白い,1,定める,70,年金,222,,,,遠い,1,生まれる,50,雇用,149,,
115,下らない,1,呼ぶ,71,十分,221,,,,軽々しい,1,向かう,62,給付,184,,,,おぼつかない,1,くださる,53,改善,177,,,,生々しい,1,設ける,65,地方,201,,,,みずみずしい,1,引き上げる,69,参加,222,,,,意義深い,1,やめる,50,次第,148,,
116,そぐわない,1,比べる,70,能力,221,,,,ええ,1,限る,60,基本,184,,,,毛頭ない,1,合わせる,52,適切,176,,,,赤い,1,下がる,64,安全,200,,,,甘い,1,深める,69,基本,221,,,,喜ばしい,1,しれる,49,全力,148,,
117,浅い,1,係る,68,適切,219,,,,親しい,1,書く,58,立場,180,,,,悲しい,1,増す,51,成長,172,,,,だんない,1,やめる,63,安全保障,200,,,,冷たい,1,くださる,69,以上,220,,,,つつがない,1,生じる,49,皆様,144,,
118,暖かい,1,切り開く,68,再生,219,,,,むなしい,1,置く,58,総合,179,,,,いち早い,1,設ける,51,目的,170,,,,際どい,1,切り開く,62,可能,200,,,,たやすい,1,引き続く,69,協力,220,,,,薄い,1,係る,48,財源,144,,
119,暑い,1,やめる,67,年間,217,,,,しぶとい,1,促す,58,要件,179,,,,太い,1,分かる,51,自民党,169,,,,うい,1,資する,62,それぞれ,198,,,,かゆい,1,講じる,68,ふう,216,,,,,,広がる,48,協定,142,,
120,寒い,1,設ける,64,充実,216,,,,古い,1,見込む,57,自衛隊,179,,,,はかない,1,かかる,50,昨年,168,,,,間近い,1,守り抜く,61,大変,197,,,,鋭い,1,許す,68,さまざま,213,,,,,,切り開く,47,分野,142,,
121,しげい,1,伴う,61,段階,214,,,,ばからしい,1,繰り返す,57,所得,178,,,,手厚い,1,言える,49,発生,167,,,,軟らかい,1,続く,61,全力,194,,,,輝かしい,1,資する,67,適切,212,,,,,,通じる,47,消費税,142,,
122,言い難い,1,開く,61,様々,208,,,,易しい,1,のっとる,56,自由,178,,,,数多い,1,脅かす,49,確か,167,,,,緩い,1,期す,61,影響,193,,,,うとい,1,通じる,66,攻撃,210,,,,,,置く,47,平和,142,,
123,生々しい,1,決まる,61,基本的,208,,,,おぼつかない,1,わかる,56,段階,177,,,,青い,1,とどまる,48,一つ,165,,,,濃い,1,防ぐ,60,閣議決定,193,,,,目覚ましい,1,失う,66,海外,208,,,,,,高める,47,所得,141,,
124,恐ろしい,1,分かる,60,拡大,207,,,,なるい,1,頑張る,56,復興,176,,,,角い,1,負う,47,予算,163,,,,はかばかしい,1,係る,60,推進,189,,,,浅い,1,済む,64,一つ,206,,,,,,促す,46,活用,139,,
125,ぬるい,1,感じる,60,平和,206,,,,好ましい,1,生み出す,55,拡大,174,,,,やましい,1,取りまとめる,46,見直し,161,,,,好ましい,1,生じる,59,社会保障,188,,,,っぽい,1,伺う,63,その後,202,,,,,,重ねる,45,協力,139,,
126,危ない,1,失う,60,安倍政権,205,,,,楽しい,1,開く,53,生活,174,,,,濃い,1,係る,46,農業,161,,,,熱い,1,置く,59,年金,184,,,,赤い,1,伴う,63,社会,201,,,,,,つなげる,44,連携,139,,
127,うい,1,くれる,59,女性,205,,,,,,伺う,53,医療,171,,,,なるい,1,つなげる,46,推進,161,,,,つまらない,1,頑張る,58,雇用,184,,,,だんない,1,設ける,62,推進,200,,,,,,掲げる,44,増加,139,,
128,軟らかい,1,向かう,59,投資,205,,,,,,しれる,53,与党,171,,,,好ましい,1,やめる,46,社会,159,,,,欲しい,1,くれる,58,拡大,183,,,,軽い,1,向かう,61,解決,200,,,,,,担う,43,もと,138,,
129,やましい,1,整える,59,所得,204,,,,,,関わる,52,全力,169,,,,興味深い,1,生まれる,45,賃金,159,,,,偉い,1,とどまる,57,復興,182,,,,際どい,1,迎える,61,明確,197,,,,,,沿う,43,引き上げ,137,,
130,ほど遠い,1,繰り返す,58,事態,203,,,,,,係る,51,雇用,169,,,,速い,1,見直す,44,維持,158,,,,楽しい,1,伴う,57,明確,181,,,,うい,1,防ぐ,60,プラス,197,,,,,,表す,42,調査,137,,
131,くだらない,1,増す,57,テロ,203,,,,,,設ける,50,充実,166,,,,,,伺う,44,連携,156,,,,おもしろい,1,整える,56,仕事,180,,,,むなしい,1,決まる,59,目標,197,,,,,,限る,42,自衛隊,137,,
132,黄色い,1,取りまとめる,57,活用,200,,,,,,くださる,50,取組,166,,,,,,見込む,44,地方,156,,,,重たい,1,深める,56,取組,180,,,,しぶとい,1,支える,59,残念,194,,,,,,深める,42,立場,136,,
133,やわらかい,1,広げる,56,安全,199,,,,,,期す,49,さん,166,,,,,,終わる,44,それぞれ,156,,,,,,増す,53,他国,180,,,,等しい,1,もつ,57,国際社会,194,,,,,,資する,42,そこ,136,,
134,ありがたい,1,差し控える,56,もと,199,,,,,,分かる,49,中小企業,163,,,,,,もつ,43,協力,155,,,,,,失う,52,岩場,179,,,,ばからしい,1,作る,56,岩場,193,,,,,,繰り返す,42,中小企業,136,,
135,熱い,1,支える,56,デフレ,199,,,,,,やめる,49,さまざま,163,,,,,,失う,43,海外,155,,,,,,表す,52,基本的,176,,,,易しい,1,守り抜く,56,消費税,189,,,,,,向かう,41,税収,134,,
136,つまらない,1,受け入れる,55,明らか,198,,,,,,応える,48,導入,162,,,,,,取り巻く,43,国際社会,153,,,,,,開く,51,適切,176,,,,おぼつかない,1,増す,53,自由,189,,,,,,異なる,41,意味,133,,
137,真新しい,1,促す,54,事業者,197,,,,,,決まる,48,合意,162,,,,,,任せる,43,生活,153,,,,,,取りまとめる,51,能力,175,,,,もったいない,1,増やす,53,雇用,188,,,,,,定める,40,IR,132,,
138,やさい,1,合う,54,安全保障,196,,,,,,沿う,48,時代,161,,,,,,ふやす,42,安倍政権,152,,,,,,伺う,50,情報,175,,,,珍しい,1,経る,53,他国,187,,,,,,訴える,40,生活,131,,
139,恩着せがましい,1,見直す,54,確か,193,,,,,,及ぶ,47,安倍政権,160,,,,,,知る,42,年間,149,,,,,,合う,49,分野,173,,,,欲しい,1,減る,51,改善,186,,,,,,もつ,40,再生,129,,
140,,,ふやす,53,可能,190,,,,,,担う,47,分野,160,,,,,,高まる,41,取組,148,,,,,,広げる,49,海外,172,,,,楽しい,1,負う,49,時代,186,,,,,,とどまる,40,農業,127,,
141,,,つなげる,53,明確,189,,,,,,迎える,47,改正,158,,,,,,のっとる,41,全力,147,,,,,,引き上げる,49,中国,171,,,,うさんくさい,1,伸びる,48,確認,185,,,,,,有する,38,取り組み,127,,
142,,,受け止める,53,生活,188,,,,,,除く,45,水準,158,,,,,,沿う,41,仕組み,147,,,,,,及ぶ,48,安倍政権,171,,,,りりしい,1,感じる,48,全体,184,,,,,,あわせる,38,中国,124,,
143,,,迎える,53,賃金,188,,,,,,もつ,45,輸出,158,,,,,,減る,41,活用,147,,,,,,払う,48,テロ,169,,,,睦まじい,1,住む,48,年間,183,,,,,,失う,38,財政,124,,
144,,,つける,52,活動,186,,,,,,経る,45,財源,157,,,,,,合う,40,自由,147,,,,,,見込む,48,当時,169,,,,すさまじい,1,取り戻す,48,目的,183,,,,,,知る,38,自由貿易,123,,
145,,,あわせる,52,負担,185,,,,,,感じる,44,協定,156,,,,,,受けとめる,39,参加,146,,,,,,つなげる,48,与党,167,,,,づらい,1,残る,48,安倍政権,182,,,,,,設ける,38,一つ,123,,
146,,,上回る,51,取組,184,,,,,,異なる,43,時間,154,,,,,,決まる,39,与党,144,,,,,,くださる,47,決意,167,,,,おこがましい,1,務める,46,年度,182,,,,,,盛り込む,37,収益,122,,
147,,,のっとる,51,仕事,184,,,,,,許す,41,安全,154,,,,,,問う,39,お話,143,,,,,,かかる,47,充実,165,,,,黒い,1,取りまとめる,46,予算,179,,,,,,ふやす,37,可能,122,,
148,,,掲げる,51,安倍内閣,183,,,,,,満たす,40,解決,153,,,,,,応える,38,明確,143,,,,,,上回る,46,解決,163,,,,,,ふやす,46,負担,177,,,,,,書く,37,確か,121,,
149,,,かける,51,意見,182,,,,,,脅かす,40,活動,153,,,,,,促す,38,リスク,142,,,,,,生まれる,46,負担,162,,,,,,担う,46,維持,174,,,,,,回す,36,お話,121,,
150,,,担う,50,決意,181,,,,,,増す,40,将来,152,,,,,,済む,38,改正,141,,,,,,生み出す,46,見直し,160,,,,,,掲げる,45,当時,173,,,,,,支える,36,自民党,120,,
151,,,言える,49,要件,181,,,,,,失う,40,維持,149,,,,,,選ぶ,37,機能,140,,,,,,訴える,45,時間,159,,,,,,言える,45,農業,172,,,,,,増す,36,決意,119,,
152,,,下がる,48,機能,181,,,,,,合う,39,それぞれ,148,,,,,,防ぐ,35,事業,138,,,,,,取り巻く,44,年間,156,,,,,,くれる,44,前提,171,,,,,,決まる,36,期待,119,,
153,,,終わる,47,指示,180,,,,,,見直す,38,協力,147,,,,,,向かう,35,将来,137,,,,,,決まる,44,目標,155,,,,,,取り巻く,44,能力,171,,,,,,会う,35,参加,119,,
154,,,防ぐ,47,時間,179,,,,,,つなげる,38,行使,147,,,,,,みる,35,デフレ,136,,,,,,務める,44,目的,155,,,,,,かかる,44,国際法,170,,,,,,見直す,35,事業者,118,,
155,,,伸びる,47,基本,179,,,,,,有する,38,基本的,147,,,,,,よる,34,消費税,135,,,,,,比べる,43,活用,154,,,,,,伝える,44,政権,170,,,,,,広げる,34,安全,118,,
156,,,見込む,46,引き上げ,178,,,,,,ふやす,38,決定,145,,,,,,異なる,34,そのため,134,,,,,,支える,43,危険,153,,,,,,とどまる,43,投資,169,,,,,,減らす,34,賃金,117,,
157,,,満たす,46,文書,176,,,,,,回す,37,仕組み,145,,,,,,経る,34,解決,134,,,,,,異なる,43,基本,153,,,,,,見直す,43,取組,167,,,,,,合う,34,GDP,116,,
158,,,生み出す,46,そのため,176,,,,,,言える,36,補正予算,142,,,,,,上回る,34,武力行使,133,,,,,,済む,42,確か,152,,,,,,沿う,43,機能,167,,,,,,関わる,34,安全保障,116,,
159,,,有する,46,分野,173,,,,,,深まる,36,世代,142,,,,,,残す,34,財政,133,,,,,,もつ,42,一つ,151,,,,,,応える,43,閣議決定,165,,,,,,感じる,33,総合,115,,
160,,,異なる,46,向上,172,,,,,,引き渡す,36,税収,142,,,,,,間違う,34,規制,131,,,,,,禁じる,42,自衛,147,,,,,,付ける,41,具体,161,,,,,,整える,33,具体,115,,
161,,,表す,45,役割,172,,,,,,充てる,36,会議,141,,,,,,控える,32,中小企業,128,,,,,,つくり出す,40,将来,147,,,,,,傾ける,41,社会保障,160,,,,,,間違う,32,取組,115,,
162,,,伝える,45,プラス,172,,,,,,覆す,35,一つ,140,,,,,,及ぶ,32,内容,127,,,,,,担う,40,具体,145,,,,,,つくり出す,41,対策,158,,,,,,引き渡す,32,将来,114,,
163,,,沿う,45,全区,171,,,,,,広げる,35,仕事,140,,,,,,迎える,32,段階,126,,,,,,有する,39,生活,145,,,,,,みる,41,自民党,157,,,,,,切る,32,先般,113,,
164,,,引き渡す,45,希望,171,,,,,,望む,35,着実,140,,,,,,くれる,32,時間,126,,,,,,促す,39,参加,144,,,,,,上回る,40,決定,157,,,,,,みる,30,給付,112,,
165,,,つくり出す,44,自由,170,,,,,,住む,34,プラス,140,,,,,,作る,32,具体,125,,,,,,闘う,38,向上,142,,,,,,終わる,40,会議,157,,,,,,見込む,30,国内,111,,
166,,,盛り込む,43,確認,169,,,,,,差し控える,33,GDP,140,,,,,,満たす,32,国際,124,,,,,,減る,38,事業者,141,,,,,,払う,40,生活,156,,,,,,許す,30,岩場,111,,
167,,,義務づける,42,自衛隊,169,,,,,,残る,33,次第,139,,,,,,開く,32,テロ,124,,,,,,差し控える,38,その後,141,,,,,,除く,39,仕組み,154,,,,,,なくす,29,規制,111,,
168,,,住む,42,派遣,169,,,,,,つくり上げる,33,向上,138,,,,,,守り抜く,31,提出,124,,,,,,負う,38,所得,141,,,,,,掛ける,39,情報,154,,,,,,集める,29,着実,109,,
169,,,訴える,42,ふう,167,,,,,,占める,32,見直し,138,,,,,,増える,31,前提,123,,,,,,感じる,38,武力,140,,,,,,選ぶ,39,改正,154,,,,,,終わる,29,維持,108,,
170,,,会う,41,海外,166,,,,,,務める,32,発生,138,,,,,,残る,31,協議,123,,,,,,向かう,38,投資,140,,,,,,間違う,38,物価,152,,,,,,言える,29,輸出,108,,
171,,,取り戻す,41,発生,165,,,,,,戻る,32,ふう,138,,,,,,書き込む,31,出端,123,,,,,,受け入れる,37,介護,139,,,,,,残す,38,提供,151,,,,,,増やす,29,活動,108,,
172,,,経る,40,貢献,164,,,,,,付ける,32,サービス,137,,,,,,通じる,30,解釈,122,,,,,,めぐる,37,法律,138,,,,,,戻る,38,出端,149,,,,,,分かる,28,昨年,107,,
173,,,残る,40,仕組み,163,,,,,,移る,31,事態,137,,,,,,覆す,29,合意,122,,,,,,あわせる,36,武力行使,138,,,,,,めぐる,38,分野,148,,,,,,読む,27,介護,107,,
174,,,守り抜く,40,具体,163,,,,,,掛かる,31,お話,136,,,,,,禁じる,29,時代,121,,,,,,掲げる,36,再生,138,,,,,,見込む,38,脱却,147,,,,,,深まる,27,見直し,107,,
175,,,務める,40,導入,162,,,,,,負う,31,運用,135,,,,,,やってくる,29,事業者,120,,,,,,広がる,36,秘書官,137,,,,,,係る,37,自衛,147,,,,,,高まる,27,安倍内閣,106,,
176,,,引き継ぐ,39,年金,162,,,,,,済む,31,役割,135,,,,,,結ぶ,29,向上,119,,,,,,言える,36,会議,137,,,,,,持てる,37,全力,147,,,,,,かかる,27,名目,106,,
177,,,輝く,39,行使,161,,,,,,終わる,30,事業者,133,,,,,,感じる,28,目標,118,,,,,,間違う,36,先般,136,,,,,,有する,37,時間,146,,,,,,受けとめる,27,内容,106,,
178,,,減る,38,政権,161,,,,,,取り戻す,30,北朝鮮,133,,,,,,充てる,28,次第,118,,,,,,引き継ぐ,35,お話,136,,,,,,当てはめる,36,仕事,145,,,,,,くれる,27,意見,105,,
179,,,もつ,38,基準,160,,,,,,見据える,30,残念,129,,,,,,有す,28,水準,118,,,,,,見直す,34,もと,135,,,,,,合う,36,可能性,145,,,,,,もたらす,26,共有,105,,
180,,,つくり上げる,38,お話,160,,,,,,防ぐ,30,事業,128,,,,,,鑑みる,28,一般,118,,,,,,深まる,34,仕組み,135,,,,,,積み重ねる,36,効果,144,,,,,,守り抜く,26,憲法,105,,
181,,,闘う,37,増加,160,,,,,,持てる,29,そのため,128,,,,,,伸びる,27,雇用,118,,,,,,伝える,34,維持,134,,,,,,盛り込む,35,全区,144,,,,,,寄り添う,25,仕事,104,,
182,,,かかる,37,事業,159,,,,,,捉える,29,意見,127,,,,,,盛り込む,27,武力,117,,,,,,書き込む,34,そのため,134,,,,,,及ぶ,34,明らか,144,,,,,,満たす,25,消費税率,103,,
183,,,選ぶ,36,一つ,157,,,,,,高まる,29,安倍内閣,126,,,,,,めぐる,27,従来,117,,,,,,つくり上げる,33,派遣,134,,,,,,つくり上げる,34,国際,144,,,,,,迎える,25,解決,102,,
184,,,みる,36,先般,156,,,,,,受け止める,28,評価,126,,,,,,伝える,27,再生,116,,,,,,持てる,33,期待,134,,,,,,かなう,34,活用,143,,,,,,受け止める,25,能力,102,,
185,,,脅かす,35,介護,155,,,,,,問う,28,体制,125,,,,,,受け入れる,27,体制,116,,,,,,沿う,33,合意,133,,,,,,追い付く,33,女性,142,,,,,,有す,24,与党,101,,
186,,,持てる,35,教育,155,,,,,,守り抜く,28,国内,125,,,,,,つくり上げる,27,その後,114,,,,,,迎える,33,国際,133,,,,,,異なる,33,武力行使,141,,,,,,持てる,24,軽減税率,101,,
187,,,めぐる,34,税収,154,,,,,,始まる,28,機能,125,,,,,,有する,27,効果,114,,,,,,引き渡す,33,教育,132,,,,,,期す,32,武力,140,,,,,,取り巻く,24,開催,101,,
188,,,負う,34,合意,154,,,,,,広がる,28,投資,124,,,,,,巻き込む,27,拍手,113,,,,,,切る,33,国々,132,,,,,,やってくる,32,そのため,140,,,,,,働きかける,23,水準,100,,
189,,,あふれる,34,期待,150,,,,,,増やす,28,安全保障,124,,,,,,乗る,27,意見,113,,,,,,捉える,32,行動,132,,,,,,広がる,32,先般,138,,,,,,及ぶ,23,評価,100,,
190,,,覆す,33,財政,149,,,,,,義務付ける,28,情報,123,,,,,,待つ,26,対処,113,,,,,,残る,32,自由貿易,132,,,,,,高まる,32,法律,138,,,,,,始まる,23,趣旨,100,,
191,,,作る,33,与党,147,,,,,,結ぶ,27,海外,123,,,,,,表す,26,計画,113,,,,,,取り戻す,31,決定,130,,,,,,生まれる,32,委員会,138,,,,,,遂げる,23,合意,99,,
192,,,歩む,33,解決,147,,,,,,受け入れる,27,目的,123,,,,,,つける,25,当時,112,,,,,,控える,31,全区,129,,,,,,帰る,32,復興,138,,,,,,移る,23,段階,99,,
193,,,打つ,32,加速,146,,,,,,切り開く,27,内容,123,,,,,,取り戻す,25,役割,112,,,,,,始まる,30,指示,128,,,,,,禁じる,31,首脳会談,137,,,,,,転じる,23,体制,99,,
194,,,避ける,32,残念,146,,,,,,とどまる,27,具体,122,,,,,,なくなる,25,確認,112,,,,,,話す,30,早期,128,,,,,,整える,31,PKO,137,,,,,,買う,22,役割,98,,
195,,,なくす,32,前提,146,,,,,,伸びる,27,女性,122,,,,,,広がる,25,能力,111,,,,,,付ける,30,確認,127,,,,,,なくなる,31,提案,137,,,,,,輝く,22,成果,97,,
196,,,調べる,32,目的,146,,,,,,下げる,26,拍手,122,,,,,,即す,25,世代,111,,,,,,結ぶ,29,体制,127,,,,,,かける,31,総合,137,,,,,,つける,22,国々,97,,
197,,,控える,32,人材,146,,,,,,つける,26,提案,121,,,,,,つくり出す,24,武力攻撃,111,,,,,,かける,29,中小企業,126,,,,,,招く,31,合意,136,,,,,,選ぶ,22,未来,97,,
198,,,済む,32,体制,145,,,,,,打つ,26,規制,121,,,,,,招く,24,方針,111,,,,,,さらす,29,解釈,126,,,,,,表す,31,危険,135,,,,,,済む,21,提供,97,,
199,,,とどまる,,,143,,,,,,受けとめる,,,121,,,,,,集まる,,,110,,,,,,掛かる,,,126,,,,,,促す,,,135,,,,,,問う,,,96,,
