,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt
87,目覚ましい,3.0,取る,86,岩場,225,,,ひどい,2.0,減る,70,認識,191,,,つまらない,2.0,取る,64,復興,178,,,有り難い,2.0,入れる,75,北朝鮮,204,,,ありがたい,2.0,高める,83,昨年,224,,,間近い,1.0,頑張る,55,充実,149,,
88,しつこい,3.0,高める,85,協力,224,,,つまらない,2.0,取りまとめる,69,賃金,191,,,おとなしい,2.0,比べる,64,基本的,178,,,すごい,2.0,使う,74,予算,202,,,汚い,2.0,脅かす,83,可能,222,,,おとなしい,1.0,減る,55,推進,149,,
89,づらい,2.0,深める,83,見直し,221,,,頼もしい,1.0,掲げる,68,十分,190,,,つつがない,2.0,掲げる,63,改善,176,,,貧しい,2.0,作る,72,成長,201,,,鈍い,2.0,開く,82,年金,222,,,速い,1.0,経る,54,雇用,148,,
90,古い,2.0,置く,82,十分,221,,,もったいない,1.0,伴う,68,全体,184,,,感慨深い,1.0,繰り返す,62,適切,172,,,おとなしい,2.0,高める,71,地方,200,,,きつい,2.0,のっとる,82,参加,221,,,余儀ない,1.0,わかる,54,次第,148,,
91,軽い,2.0,来る,79,能力,219,,,いち早い,1.0,上回る,68,給付,184,,,数少ない,1.0,深める,61,成長,170,,,恥ずかしい,2.0,通じる,70,安全,200,,,乏しい,2.0,生じる,79,基本,220,,,怒りっぽい,1.0,来る,53,全力,144,,
92,潔い,2.0,期す,78,適切,219,,,旨い,1.0,深める,67,基本,180,,,薄い,1.0,支える,61,目的,169,,,おどろおどろしい,2.0,講じる,69,安全保障,200,,,暖かい,2.0,当てはまる,79,協力,216,,,苦しい,1.0,のっとる,52,皆様,144,,
93,注意深い,2.0,生まれる,77,再生,217,,,遅い,1.0,通じる,66,立場,179,,,騒がしい,1.0,至る,59,自民党,168,,,暗い,2.0,分かる,69,可能,198,,,喜ばしい,2.0,満たす,78,ふう,213,,,心強い,1.0,くださる,51,財源,142,,
94,物すごい,2.0,伺う,77,年間,216,,,ばかばかしい,1.0,生まれる,66,総合,179,,,そぐわない,1.0,担う,58,昨年,167,,,汚い,2.0,始める,69,大変,194,,,情けない,2.0,努める,76,適切,210,,,欲しい,1.0,伺う,51,協定,142,,
95,根強い,2.0,入れる,76,充実,214,,,数少ない,1.0,作る,65,要件,179,,,後ろめたい,1.0,来る,58,発生,167,,,意義深い,2.0,のっとる,68,全力,193,,,寒い,2.0,合わせる,76,攻撃,208,,,易しい,1.0,比べる,51,分野,142,,
96,こわい,2.0,許す,74,段階,208,,,狭い,1.0,来る,65,自衛隊,178,,,危ない,1.0,資する,57,予算,161,,,ばかばかしい,1.0,ふえる,67,影響,193,,,おとなしい,2.0,比べる,75,海外,206,,,あつい,1.0,使う,51,消費税,142,,
97,甘い,2.0,くださる,74,基本的,207,,,寒い,1.0,挙げる,65,所得,178,,,おめでたい,1.0,差し控える,56,見直し,161,,,数少ない,1.0,経る,67,閣議決定,189,,,そぐわない,2.0,覆す,75,社会,200,,,数少ない,1.0,続く,50,平和,141,,
98,おどろおどろしい,2.0,限る,72,拡大,206,,,つつましい,1.0,資する,64,自由,177,,,末永い,1.0,伴う,56,農業,161,,,申し訳ない,1.0,許す,66,推進,188,,,つまらない,2.0,定める,72,推進,200,,,素早い,1.0,生まれる,50,所得,139,,
99,緩い,2.0,呼ぶ,72,平和,205,,,冷たい,1.0,向かう,64,段階,176,,,欲しい,1.0,くださる,54,推進,159,,,狭い,1.0,設ける,65,社会保障,184,,,しつこい,2.0,引き上げる,70,解決,197,,,興味深い,1.0,やめる,50,活用,139,,
100,好ましい,2.0,比べる,71,安倍政権,205,,,たやすい,1.0,限る,62,復興,174,,,ひとしい,1.0,合わせる,53,社会,159,,,悲しい,1.0,下がる,65,年金,184,,,素晴らしい,1.0,深める,69,明確,197,,,親しい,1.0,しれる,50,協力,139,,
101,まずい,2.0,係る,70,女性,205,,,かゆい,1.0,書く,60,拡大,174,,,久しい,1.0,増す,52,賃金,158,,,等しい,1.0,やめる,64,雇用,183,,,感慨深い,1.0,くださる,69,プラス,197,,,軽々しい,1.0,生じる,49,連携,139,,
102,なるい,1.0,切り開く,68,投資,204,,,重たい,1.0,置く,58,生活,171,,,寒い,1.0,設ける,51,維持,156,,,険しい,1.0,切り開く,63,拡大,182,,,薄い,1.0,引き続く,69,目標,194,,,うい,1.0,係る,49,増加,138,,
103,赤い,1.0,やめる,68,所得,203,,,鋭い,1.0,促す,58,医療,171,,,つつましい,1.0,分かる,51,連携,156,,,からい,1.0,資する,62,復興,181,,,ばかばかしい,1.0,講じる,69,残念,194,,,そぐわない,1.0,広がる,48,引き上げ,137,,
104,ゆゆしい,1.0,設ける,67,事態,203,,,鈍い,1.0,見込む,58,与党,169,,,浅い,1.0,かかる,51,地方,156,,,物すごい,1.0,守り抜く,62,明確,180,,,数少ない,1.0,許す,68,国際社会,193,,,軟らかい,1.0,切り開く,48,調査,137,,
105,鈍い,1.0,伴う,64,テロ,200,,,貧しい,1.0,繰り返す,57,全力,169,,,きつい,1.0,言える,50,協力,155,,,下らない,1.0,続く,61,仕事,180,,,数多い,1.0,資する,68,岩場,189,,,幼い,1.0,通じる,47,自衛隊,136,,
106,きつい,1.0,開く,61,活用,199,,,うとい,1.0,のっとる,57,雇用,166,,,懐かしい,1.0,脅かす,49,海外,153,,,根強い,1.0,期す,61,取組,180,,,ゆゆしい,1.0,通じる,67,消費税,189,,,緩い,1.0,置く,47,立場,136,,
107,誇らしい,1.0,決まる,61,安全,199,,,目覚ましい,1.0,わかる,56,充実,166,,,恥ずかしい,1.0,とどまる,49,国際社会,153,,,浅い,1.0,防ぐ,61,他国,179,,,痛い,1.0,失う,66,自由,188,,,濃い,1.0,高める,47,中小企業,134,,
108,はかばかしい,1.0,分かる,61,デフレ,198,,,っぽい,1.0,頑張る,56,取組,166,,,親しい,1.0,負う,48,生活,152,,,暖かい,1.0,係る,60,岩場,176,,,誇らしい,1.0,済む,66,雇用,187,,,はかばかしい,1.0,促す,47,税収,133,,
109,白い,1.0,感じる,60,明らか,197,,,軟らかい,1.0,生み出す,56,中小企業,163,,,むなしい,1.0,取りまとめる,47,安倍政権,149,,,暑い,1.0,生じる,60,基本的,176,,,怪しい,1.0,伺う,64,他国,186,,,悲しい,1.0,重ねる,46,意味,132,,
110,悲しい,1.0,失う,60,事業者,196,,,またとない,1.0,開く,55,導入,162,,,しぶとい,1.0,係る,46,年間,148,,,苦しい,1.0,置く,59,適切,175,,,底堅い,1.0,伴う,63,改善,186,,,太い,1.0,つなげる,45,IR,131,,
111,険しい,1.0,くれる,60,安全保障,193,,,根強い,1.0,伺う,53,合意,161,,,ばからしい,1.0,つなげる,46,取組,147,,,しげい,1.0,頑張る,59,能力,175,,,はかばかしい,1.0,設ける,63,時代,185,,,はかない,1.0,掲げる,44,生活,129,,
112,からい,1.0,向かう,59,可能,189,,,そぐわない,1.0,しれる,53,時代,160,,,易しい,1.0,やめる,46,全力,147,,,言い難い,1.0,くれる,58,情報,173,,,白い,1.0,向かう,62,確認,184,,,遠い,1.0,担う,44,再生,127,,
113,下らない,1.0,整える,59,明確,188,,,軽々しい,1.0,関わる,53,安倍政権,160,,,おぼつかない,1.0,生まれる,46,仕組み,147,,,生々しい,1.0,とどまる,58,分野,172,,,みずみずしい,1.0,迎える,61,全体,183,,,意義深い,1.0,沿う,43,農業,127,,
114,そぐわない,1.0,繰り返す,59,生活,188,,,ええ,1.0,係る,52,分野,158,,,毛頭ない,1.0,見直す,45,活用,147,,,赤い,1.0,伴う,57,海外,171,,,甘い,1.0,防ぐ,61,年間,183,,,喜ばしい,1.0,表す,43,取り組み,124,,
115,浅い,1.0,増す,58,賃金,186,,,親しい,1.0,設ける,51,改正,158,,,悲しい,1.0,伺う,44,自由,146,,,だんない,1.0,整える,57,中国,171,,,冷たい,1.0,決まる,60,目的,182,,,つつがない,1.0,限る,42,中国,124,,
116,暖かい,1.0,取りまとめる,57,活動,185,,,むなしい,1.0,くださる,50,水準,158,,,いち早い,1.0,見込む,44,参加,144,,,際どい,1.0,深める,56,安倍政権,169,,,たやすい,1.0,支える,59,安倍政権,182,,,薄い,1.0,深める,42,財政,123,,
117,暑い,1.0,広げる,57,負担,184,,,しぶとい,1.0,期す,50,輸出,157,,,太い,1.0,終わる,44,与党,143,,,うい,1.0,増す,56,テロ,169,,,かゆい,1.0,もつ,59,年度,179,,,,,資する,42,自由貿易,123,,
118,寒い,1.0,差し控える,56,取組,184,,,古い,1.0,分かる,49,財源,156,,,はかない,1.0,もつ,44,お話,143,,,間近い,1.0,失う,53,当時,167,,,鋭い,1.0,作る,57,予算,177,,,,,繰り返す,42,収益,122,,
119,しげい,1.0,支える,56,仕事,183,,,ばからしい,1.0,やめる,49,協定,154,,,手厚い,1.0,失う,43,明確,142,,,軟らかい,1.0,表す,52,与党,167,,,輝かしい,1.0,守り抜く,56,負担,174,,,,,向かう,42,可能,121,,
120,言い難い,1.0,受け入れる,56,安倍内閣,182,,,易しい,1.0,応える,49,安全,153,,,数多い,1.0,取り巻く,43,リスク,141,,,緩い,1.0,開く,52,決意,165,,,うとい,1.0,増す,56,維持,173,,,,,異なる,41,お話,120,,
121,生々しい,1.0,促す,55,意見,181,,,おぼつかない,1.0,決まる,48,解決,153,,,青い,1.0,任せる,43,改正,140,,,濃い,1.0,取りまとめる,51,充実,163,,,目覚ましい,1.0,増やす,53,当時,172,,,,,定める,41,自民党,119,,
122,恐ろしい,1.0,合う,54,決意,181,,,なるい,1.0,沿う,48,活動,152,,,角い,1.0,ふやす,43,機能,138,,,はかばかしい,1.0,伺う,51,解決,162,,,浅い,1.0,経る,53,農業,171,,,,,訴える,40,決意,119,,
123,ぬるい,1.0,見直す,54,要件,181,,,好ましい,1.0,及ぶ,48,将来,149,,,やましい,1.0,知る,42,事業,137,,,好ましい,1.0,合う,50,負担,160,,,っぽい,1.0,減る,53,前提,171,,,,,もつ,40,期待,119,,
124,危ない,1.0,ふやす,54,機能,180,,,楽しい,1.0,担う,47,維持,148,,,濃い,1.0,高まる,42,将来,136,,,熱い,1.0,広げる,49,見直し,159,,,赤い,1.0,負う,51,能力,170,,,,,とどまる,40,参加,118,,
125,うい,1.0,つなげる,53,指示,179,,,,,迎える,47,協力,147,,,なるい,1.0,のっとる,41,デフレ,135,,,つまらない,1.0,引き上げる,49,年間,155,,,だんない,1.0,伸びる,49,国際法,170,,,,,有する,40,事業者,118,,
126,軟らかい,1.0,受け止める,53,基本,178,,,,,除く,47,行使,147,,,好ましい,1.0,沿う,41,消費税,134,,,欲しい,1.0,及ぶ,49,目標,155,,,軽い,1.0,感じる,48,政権,169,,,,,あわせる,38,安全,117,,
127,やましい,1.0,迎える,53,引き上げ,176,,,,,もつ,45,基本的,145,,,興味深い,1.0,減る,41,そのため,134,,,偉い,1.0,払う,48,目的,154,,,際どい,1.0,住む,48,投資,167,,,,,失う,38,賃金,116,,
128,ほど遠い,1.0,つける,53,文書,176,,,,,経る,45,決定,145,,,速い,1.0,合う,41,解決,133,,,楽しい,1.0,見込む,48,活用,153,,,うい,1.0,取り戻す,48,取組,167,,,,,知る,38,GDP,116,,
129,くだらない,1.0,あわせる,52,そのため,173,,,,,感じる,45,仕組み,142,,,,,受けとめる,40,武力行使,133,,,おもしろい,1.0,つなげる,48,危険,153,,,むなしい,1.0,残る,48,機能,165,,,,,設ける,38,安全保障,115,,
130,黄色い,1.0,上回る,52,分野,172,,,,,異なる,44,補正予算,142,,,,,決まる,39,財政,131,,,重たい,1.0,くださる,48,基本,152,,,しぶとい,1.0,務める,48,閣議決定,161,,,,,盛り込む,38,総合,115,,
131,やわらかい,1.0,のっとる,51,向上,172,,,,,許す,43,世代,142,,,,,問う,39,規制,128,,,,,かかる,47,自衛,147,,,等しい,1.0,取りまとめる,46,具体,160,,,,,ふやす,37,具体,115,,
132,ありがたい,1.0,掲げる,51,役割,172,,,,,満たす,41,税収,141,,,,,応える,39,中小企業,127,,,,,上回る,47,将来,145,,,ばからしい,1.0,ふやす,46,社会保障,158,,,,,書く,37,取組,114,,
133,熱い,1.0,かける,51,プラス,171,,,,,脅かす,40,会議,140,,,,,促す,38,内容,126,,,,,生まれる,46,具体,145,,,易しい,1.0,担う,46,対策,157,,,,,回す,37,将来,113,,
134,つまらない,1.0,担う,51,全区,171,,,,,増す,40,仕事,140,,,,,済む,38,段階,126,,,,,生み出す,46,生活,144,,,おぼつかない,1.0,掲げる,46,自民党,157,,,,,支える,36,先般,112,,
135,真新しい,1.0,言える,50,希望,170,,,,,失う,40,着実,140,,,,,選ぶ,38,具体,124,,,,,訴える,46,参加,142,,,もったいない,1.0,言える,45,決定,157,,,,,増す,36,給付,111,,
136,やさい,1.0,下がる,49,自由,169,,,,,合う,40,プラス,140,,,,,防ぐ,37,国際,124,,,,,取り巻く,45,向上,141,,,珍しい,1.0,くれる,45,会議,156,,,,,決まる,36,国内,111,,
137,恩着せがましい,1.0,終わる,48,確認,169,,,,,見直す,39,GDP,139,,,,,向かう,35,テロ,124,,,,,決まる,44,事業者,141,,,欲しい,1.0,取り巻く,44,生活,154,,,,,会う,36,岩場,111,,
138,,,防ぐ,47,自衛隊,169,,,,,つなげる,38,次第,138,,,,,みる,35,提出,123,,,,,務める,44,所得,140,,,楽しい,1.0,かかる,44,仕組み,154,,,,,見直す,35,規制,109,,
139,,,伸びる,47,派遣,167,,,,,有する,38,向上,138,,,,,よる,35,前提,123,,,,,比べる,44,武力,140,,,うさんくさい,1.0,伝える,44,情報,154,,,,,広げる,35,着実,108,,
140,,,見込む,47,ふう,166,,,,,ふやす,38,見直し,138,,,,,異なる,34,協議,123,,,,,支える,43,投資,139,,,りりしい,1.0,とどまる,44,改正,152,,,,,減らす,34,維持,108,,
141,,,満たす,46,海外,165,,,,,回す,38,発生,138,,,,,経る,34,出端,122,,,,,異なる,43,介護,138,,,睦まじい,1.0,見直す,43,物価,151,,,,,合う,34,輸出,108,,
142,,,生み出す,46,発生,164,,,,,言える,37,ふう,137,,,,,上回る,34,解釈,122,,,,,済む,43,法律,138,,,すさまじい,1.0,沿う,43,提供,149,,,,,関わる,34,活動,107,,
143,,,有する,46,貢献,163,,,,,深まる,36,サービス,137,,,,,残す,34,合意,121,,,,,もつ,42,武力行使,138,,,づらい,1.0,応える,43,出端,148,,,,,感じる,34,昨年,107,,
144,,,異なる,46,仕組み,163,,,,,引き渡す,36,事態,136,,,,,間違う,34,時代,120,,,,,禁じる,42,再生,137,,,おこがましい,1.0,付ける,43,分野,147,,,,,整える,33,介護,107,,
145,,,表す,46,具体,162,,,,,充てる,36,お話,135,,,,,控える,34,事業者,119,,,,,つくり出す,42,秘書官,137,,,黒い,1.0,傾ける,41,脱却,147,,,,,間違う,33,見直し,106,,
146,,,伝える,45,導入,162,,,,,覆す,36,運用,135,,,,,及ぶ,32,向上,118,,,,,担う,40,会議,136,,,,,つくり出す,41,自衛,147,,,,,引き渡す,32,安倍内閣,106,,
147,,,沿う,45,年金,161,,,,,広げる,35,役割,133,,,,,迎える,32,目標,118,,,,,有する,40,先般,136,,,,,みる,41,全力,146,,,,,切る,32,名目,106,,
148,,,引き渡す,45,行使,161,,,,,望む,35,事業者,133,,,,,くれる,32,次第,118,,,,,促す,39,お話,135,,,,,上回る,41,仕事,145,,,,,みる,32,内容,105,,
149,,,つくり出す,45,政権,160,,,,,住む,35,北朝鮮,129,,,,,作る,32,水準,118,,,,,闘う,39,仕組み,134,,,,,終わる,40,可能性,144,,,,,見込む,30,意見,105,,
150,,,盛り込む,44,基準,160,,,,,差し控える,34,残念,128,,,,,満たす,32,一般,118,,,,,減る,38,維持,134,,,,,払う,40,効果,144,,,,,許す,30,共有,105,,
151,,,義務づける,43,お話,160,,,,,残る,33,事業,128,,,,,開く,32,雇用,117,,,,,差し控える,38,そのため,134,,,,,除く,40,全区,144,,,,,なくす,30,憲法,104,,
152,,,住む,42,増加,159,,,,,つくり上げる,33,そのため,127,,,,,守り抜く,32,武力,117,,,,,負う,38,派遣,134,,,,,掛ける,39,明らか,144,,,,,集める,29,仕事,103,,
153,,,訴える,42,事業,157,,,,,占める,33,意見,126,,,,,増える,31,従来,116,,,,,感じる,38,期待,133,,,,,選ぶ,39,国際,143,,,,,終わる,29,消費税率,102,,
154,,,会う,42,先般,155,,,,,務める,32,安倍内閣,126,,,,,残る,31,再生,116,,,,,向かう,38,合意,133,,,,,間違う,39,活用,142,,,,,言える,29,解決,102,,
155,,,取り戻す,41,介護,155,,,,,戻る,32,評価,125,,,,,書き込む,31,体制,114,,,,,受け入れる,38,国際,132,,,,,残す,38,女性,141,,,,,増やす,29,能力,101,,
156,,,経る,41,教育,154,,,,,付ける,32,体制,125,,,,,通じる,31,効果,113,,,,,めぐる,37,教育,132,,,,,戻る,38,武力行使,140,,,,,分かる,29,与党,101,,
157,,,残る,40,税収,154,,,,,移る,32,国内,125,,,,,覆す,30,拍手,113,,,,,あわせる,37,国々,132,,,,,めぐる,38,武力,140,,,,,読む,28,軽減税率,101,,
158,,,守り抜く,40,合意,150,,,,,掛かる,31,機能,124,,,,,禁じる,29,意見,113,,,,,掲げる,36,行動,132,,,,,見込む,38,そのため,138,,,,,深まる,27,開催,100,,
159,,,務める,40,期待,149,,,,,負う,31,投資,124,,,,,やってくる,29,対処,113,,,,,広がる,36,自由貿易,130,,,,,係る,38,先般,138,,,,,高まる,27,水準,100,,
160,,,引き継ぐ,40,財政,147,,,,,済む,31,安全保障,123,,,,,結ぶ,29,計画,112,,,,,言える,36,決定,129,,,,,持てる,37,法律,138,,,,,かかる,27,評価,100,,
161,,,輝く,39,与党,147,,,,,終わる,31,情報,123,,,,,感じる,29,当時,112,,,,,間違う,36,全区,128,,,,,有する,37,委員会,138,,,,,受けとめる,27,趣旨,99,,
162,,,減る,39,解決,146,,,,,取り戻す,30,海外,123,,,,,充てる,28,役割,112,,,,,引き継ぐ,36,指示,128,,,,,当てはめる,37,復興,137,,,,,くれる,27,合意,99,,
163,,,もつ,38,加速,146,,,,,見据える,30,目的,123,,,,,有す,28,確認,111,,,,,見直す,35,早期,127,,,,,合う,36,首脳会談,137,,,,,もたらす,27,段階,99,,
164,,,つくり上げる,38,残念,146,,,,,防ぐ,30,内容,122,,,,,鑑みる,28,能力,111,,,,,深まる,34,確認,127,,,,,積み重ねる,36,PKO,137,,,,,守り抜く,26,体制,98,,
165,,,闘う,38,前提,146,,,,,持てる,30,具体,122,,,,,伸びる,28,世代,111,,,,,伝える,34,体制,126,,,,,盛り込む,36,提案,137,,,,,寄り添う,26,役割,97,,
166,,,かかる,37,目的,146,,,,,捉える,29,女性,122,,,,,盛り込む,27,武力攻撃,111,,,,,書き込む,34,中小企業,126,,,,,及ぶ,35,総合,136,,,,,満たす,25,成果,97,,
167,,,選ぶ,37,人材,145,,,,,高まる,29,拍手,121,,,,,めぐる,27,方針,110,,,,,つくり上げる,34,解釈,126,,,,,つくり上げる,34,合意,135,,,,,迎える,25,国々,97,,
168,,,みる,36,体制,143,,,,,受け止める,29,提案,121,,,,,伝える,27,施策,110,,,,,持てる,33,国際法,124,,,,,かなう,34,危険,135,,,,,受け止める,25,未来,97,,
169,,,脅かす,36,着実,143,,,,,問う,28,規制,121,,,,,受け入れる,27,所得,110,,,,,沿う,33,意見,124,,,,,追い付く,34,権利,135,,,,,有す,25,提供,96,,
170,,,持てる,35,指定,143,,,,,守り抜く,28,再生,121,,,,,つくり上げる,27,安倍内閣,109,,,,,迎える,33,戦後,124,,,,,異なる,33,運用,135,,,,,持てる,24,事業,94,,
171,,,めぐる,35,施策,141,,,,,始まる,28,出端,121,,,,,有する,27,貢献,109,,,,,引き渡す,33,協定,124,,,,,期す,33,将来,134,,,,,取り巻く,24,削減,94,,
172,,,負う,34,水準,140,,,,,広がる,28,明確,119,,,,,巻き込む,27,可能性,109,,,,,切る,33,貢献,123,,,,,やってくる,32,平和安全法制,134,,,,,働きかける,24,拍手,94,,
173,,,あふれる,34,農協,140,,,,,増やす,28,施策,118,,,,,乗る,27,エネルギー,109,,,,,捉える,33,内容,123,,,,,広がる,32,中国,132,,,,,及ぶ,23,残念,93,,
174,,,覆す,34,早期,139,,,,,義務付ける,28,前提,117,,,,,待つ,27,拡大,108,,,,,残る,32,意思,123,,,,,高まる,32,解釈,132,,,,,始まる,23,運用,93,,
175,,,作る,33,消費税率,139,,,,,結ぶ,28,財政,117,,,,,表す,26,分野,107,,,,,取り戻す,32,委員会,122,,,,,生まれる,32,対処,132,,,,,遂げる,23,基本的,93,,
176,,,歩む,33,計画,139,,,,,受け入れる,27,取り組み,115,,,,,つける,26,法律,107,,,,,控える,31,総合,120,,,,,帰る,32,水準,132,,,,,移る,23,早期,92,,
177,,,打つ,33,行動,138,,,,,切り開く,27,拡充,115,,,,,取り戻す,25,介護,106,,,,,始まる,31,審議,120,,,,,禁じる,32,行動,131,,,,,転じる,23,効果,92,,
178,,,避ける,32,中小企業,138,,,,,とどまる,27,世帯,114,,,,,なくなる,25,対象,106,,,,,話す,30,希望,120,,,,,整える,31,調査,131,,,,,買う,23,万全,92,,
179,,,なくす,32,法律,138,,,,,伸びる,27,成果,113,,,,,広がる,25,先般,106,,,,,付ける,30,安倍内閣,120,,,,,なくなる,31,見直し,130,,,,,輝く,22,基本,92,,
180,,,調べる,32,賃上げ,138,,,,,下げる,27,自民党,113,,,,,即す,25,情報,106,,,,,結ぶ,30,賃金,120,,,,,かける,31,訓練,130,,,,,つける,22,会談,92,,
181,,,控える,32,規制,137,,,,,つける,26,効果,113,,,,,つくり出す,25,総合,106,,,,,かける,29,平和安全法制,120,,,,,招く,31,給付,130,,,,,選ぶ,22,具体的,91,,
182,,,済む,32,小規模,137,,,,,打つ,26,閣議決定,113,,,,,招く,24,経験,105,,,,,さらす,29,人材,119,,,,,表す,31,方針,128,,,,,済む,22,施策,91,,
183,,,とどまる,32,全国,137,,,,,受けとめる,26,引上げ,113,,,,,集まる,24,審議,104,,,,,掛かる,29,デフレ,119,,,,,促す,31,条件,128,,,,,問う,21,そのため,91,,
184,,,起こす,31,等々,136,,,,,かかる,26,能力,112,,,,,及ぼす,24,他方,104,,,,,終わる,29,輸出,119,,,,,掛かる,31,与党,128,,,,,なくなる,21,海外,91,,
185,,,除く,31,将来,134,,,,,切る,26,委員会,111,,,,,解す,24,充実,103,,,,,ふやす,29,前提,118,,,,,会う,31,生命,127,,,,,伸びる,21,プラス,91,,
186,,,問う,31,行政,134,,,,,減らす,25,先般,111,,,,,当てはめる,24,残念,103,,,,,義務付ける,29,機能,118,,,,,落ちる,30,役割,127,,,,,防ぐ,21,示し,91,,
187,,,寄り添う,31,運用,133,,,,,まとめる,25,提出,111,,,,,売れる,24,給付,103,,,,,備える,28,ミサイル,118,,,,,深まる,30,体制,126,,,,,待つ,21,確認,90,,
188,,,引き下げる,31,若者,132,,,,,あわせる,25,参加,111,,,,,なくす,23,早期,102,,,,,待つ,28,出端,117,,,,,差し控える,29,人達,125,,,,,相次ぐ,21,賃上げ,90,,
189,,,移る,31,改正,132,,,,,取り巻く,25,子供,111,,,,,あわせる,22,決意,102,,,,,読む,28,次第,117,,,,,備える,29,計画,125,,,,,充てる,20,機能,90,,
190,,,届ける,30,当時,132,,,,,くれる,25,賃上げ,111,,,,,引き継ぐ,22,期待,102,,,,,積み重ねる,28,役割,117,,,,,控える,29,他方,124,,,,,引き下げる,20,首脳会談,90,,
191,,,高まる,30,財政健全化,131,,,,,振れる,25,岩場,110,,,,,読む,22,調整,102,,,,,増やす,27,法制,117,,,,,義務づける,29,次第,124,,,,,除く,20,国際,90,,
192,,,読む,30,効果,131,,,,,集まる,24,増加,110,,,,,集める,22,財源,100,,,,,高まる,27,改正,116,,,,,動く,28,中小企業,123,,,,,打つ,20,行動,90,,
193,,,残す,30,報告,130,,,,,表す,24,安心,110,,,,,見据える,22,非常,100,,,,,もたらす,27,先ほど,116,,,,,あふれる,28,決意,122,,,,,控える,20,公正,90,,
194,,,傾ける,30,内容,130,,,,,築く,24,高齢者,109,,,,,関わる,22,現実,99,,,,,みる,27,対処,115,,,,,通る,28,希望,121,,,,,務める,19,政権,89,,
195,,,広がる,30,提出,130,,,,,残す,24,武力攻撃,108,,,,,みなす,22,外交,99,,,,,集める,27,提出,115,,,,,移る,28,変化,121,,,,,陥る,19,利益,89,,
196,,,臨む,30,対話,129,,,,,追い付く,24,四月,108,,,,,もたらす,21,教育,99,,,,,暮らす,26,権利,114,,,,,戦う,28,事業者,121,,,,,避ける,19,改正,89,,
197,,,しゃべる,30,方針,129,,,,,整える,24,審議,107,,,,,戻る,21,行為,98,,,,,盛り込む,26,原則,113,,,,,受け入れる,28,ミサイル,120,,,,,築く,19,希望,88,,
198,,,積み重ねる,30,可能性,128,,,,,伝える,23,一体,107,,,,,掛かる,21,健康,98,,,,,つける,26,民間,113,,,,,有す,28,経験,120,,,,,掛ける,19,加速,88,,
199,,,集まる,30,時代,127,,,,,選ぶ,23,集団的自衛権,106,,,,,用いる,21,委員会,98,,,,,寄り添う,26,PKO,112,,,,,待つ,27,期待,119,,,,,伝える,19,向上,88,,
